seed,ablation,retention_pct,f1,accuracy,violation_rate,hif_score,generator
42,No filtering,100.0,0.46254513902977223,0.5216666666666666,0.0,,ctgan
42,LSE-only,28.1,0.8566602960131562,0.8566666666666667,0.7185,0.3702,ctgan
42,NIC-only,84.4,0.44773371809542767,0.5066666666666667,0.1565,0.7517,ctgan
42,Rules-only,96.3,0.46082465450211413,0.525,0.037,0.963,ctgan
42,LSE + NIC,42.4,0.8112845178152426,0.8116666666666666,0.5765,0.4764,ctgan
42,Full HIF (multiplicative),63.9,0.6067603996453133,0.6316666666666667,0.3605,0.5743,ctgan
42,Full HIF (arith.),94.0,0.4873067063590507,0.535,0.0595,0.695,ctgan
43,No filtering,100.0,0.5080703385993466,0.5533333333333333,0.0,,ctgan
43,LSE-only,21.6,0.8019580419580419,0.8033333333333333,0.7835,0.3109,ctgan
43,NIC-only,88.7,0.4715286818762808,0.505,0.113,0.841,ctgan
43,Rules-only,86.8,0.424569583599308,0.4816666666666667,0.1325,0.8675,ctgan
43,LSE + NIC,36.9,0.7774680812803452,0.78,0.631,0.4516,ctgan
43,Full HIF (multiplicative),56.5,0.5484526242367136,0.59,0.435,0.5122,ctgan
43,Full HIF (arith.),84.4,0.45052918833204264,0.5033333333333333,0.156,0.6732,ctgan
44,No filtering,100.0,0.35661764705882354,0.44,0.0,,ctgan
44,LSE-only,23.0,0.8129821553806593,0.8133333333333334,0.77,0.3281,ctgan
44,NIC-only,97.5,0.3768196068530668,0.4583333333333333,0.0255,0.8465,ctgan
44,Rules-only,91.9,0.3663513357825881,0.45,0.081,0.919,ctgan
44,LSE + NIC,39.7,0.6502857142857142,0.66,0.603,0.477,ctgan
44,Full HIF (multiplicative),59.2,0.5111697099358177,0.5633333333333334,0.4075,0.5507,ctgan
44,Full HIF (arith.),92.2,0.374873711860982,0.45,0.0785,0.6979,ctgan
45,No filtering,100.0,0.34123895225623835,0.49833333333333335,0.0,,ctgan
45,LSE-only,22.3,0.8640175266299011,0.865,0.777,0.3257,ctgan
45,NIC-only,95.5,0.3404577485294974,0.49666666666666665,0.0445,0.8703,ctgan
45,Rules-only,98.6,0.3404577485294974,0.49666666666666665,0.014,0.986,ctgan
45,LSE + NIC,41.9,0.6349153667441089,0.67,0.5805,0.4798,ctgan
45,Full HIF (multiplicative),65.6,0.3802968349863467,0.5133333333333333,0.3435,0.5882,ctgan
45,Full HIF (arith.),96.7,0.34517398993628234,0.495,0.033,0.7274,ctgan
46,No filtering,100.0,0.3892931392931393,0.53,0.0,,ctgan
46,LSE-only,39.6,0.8494379297997299,0.8516666666666667,0.604,0.4704,ctgan
46,NIC-only,94.2,0.35033019338578486,0.5116666666666667,0.0585,0.8619,ctgan
46,Rules-only,90.6,0.3628224605082671,0.52,0.094,0.906,ctgan
46,LSE + NIC,61.4,0.4859964384005181,0.5766666666666667,0.386,0.5927,ctgan
46,Full HIF (multiplicative),75.0,0.4019527635569878,0.535,0.25,0.6331,ctgan
46,Full HIF (arith.),91.5,0.43665934065934064,0.555,0.0855,0.7461,ctgan
