seed,ablation,retention_pct,f1,accuracy,violation_rate,hif_score,generator
42,No filtering,100.0,0.9483217057171196,0.9483333333333334,0.0,,gaussian_copula
42,LSE-only,95.5,0.9449815076734125,0.945,0.0445,0.9074,gaussian_copula
42,NIC-only,99.6,0.946651847735482,0.9466666666666667,0.004,0.9573,gaussian_copula
42,Rules-only,99.4,0.9399893314366998,0.94,0.006,0.994,gaussian_copula
42,LSE + NIC,99.2,0.9449925128698073,0.945,0.0085,0.9259,gaussian_copula
42,Full HIF (geom.),99.4,0.941653538712877,0.9416666666666667,0.0065,0.9431,gaussian_copula
42,Full HIF (arith.),99.9,0.9449925128698073,0.945,0.001,0.9529,gaussian_copula
43,No filtering,100.0,0.944974168429068,0.945,0.0,,gaussian_copula
43,LSE-only,95.2,0.9499799919967987,0.95,0.0475,0.8984,gaussian_copula
43,NIC-only,99.5,0.944974168429068,0.945,0.0055,0.9551,gaussian_copula
43,Rules-only,99.4,0.9399759903961584,0.94,0.0065,0.9935,gaussian_copula
43,LSE + NIC,98.9,0.9449876222149984,0.945,0.011,0.9195,gaussian_copula
43,Full HIF (geom.),99.2,0.936649069185885,0.9366666666666666,0.008,0.9378,gaussian_copula
43,Full HIF (arith.),100.0,0.9433276660999433,0.9433333333333334,0.0005,0.949,gaussian_copula
44,No filtering,100.0,0.934959349593496,0.935,0.0,,gaussian_copula
44,LSE-only,95.6,0.9349694717798077,0.935,0.044,0.9024,gaussian_copula
44,NIC-only,99.7,0.9399759903961584,0.94,0.003,0.9588,gaussian_copula
44,Rules-only,99.3,0.9366215975805017,0.9366666666666666,0.007,0.993,gaussian_copula
44,LSE + NIC,99.1,0.9332858921900018,0.9333333333333333,0.009,0.924,gaussian_copula
44,Full HIF (geom.),99.2,0.926614481409002,0.9266666666666666,0.008,0.9406,gaussian_copula
44,Full HIF (arith.),99.9,0.9399833287024173,0.94,0.001,0.9514,gaussian_copula
45,No filtering,100.0,0.9333066559957317,0.9333333333333333,0.0,,gaussian_copula
45,LSE-only,95.5,0.9333148096693527,0.9333333333333333,0.0455,0.9031,gaussian_copula
45,NIC-only,99.6,0.9349694717798077,0.935,0.0045,0.9562,gaussian_copula
45,Rules-only,99.2,0.9382947675630602,0.9383333333333334,0.0075,0.9925,gaussian_copula
45,LSE + NIC,99.1,0.9333066559957317,0.9333333333333333,0.0095,0.9233,gaussian_copula
45,Full HIF (geom.),99.2,0.9282996740136342,0.9283333333333333,0.0085,0.9399,gaussian_copula
45,Full HIF (arith.),99.8,0.9315980747360548,0.9316666666666666,0.002,0.9506,gaussian_copula
46,No filtering,100.0,0.9383249386722081,0.9383333333333334,0.0,,gaussian_copula
46,LSE-only,95.6,0.9416392695459812,0.9416666666666667,0.044,0.9019,gaussian_copula
46,NIC-only,99.5,0.9399893314366998,0.94,0.005,0.9564,gaussian_copula
46,Rules-only,99.2,0.9416626154594069,0.9416666666666667,0.0085,0.9915,gaussian_copula
46,LSE + NIC,99.1,0.9333066559957317,0.9333333333333333,0.0095,0.9223,gaussian_copula
46,Full HIF (geom.),99.0,0.9366554054054055,0.9366666666666666,0.01,0.938,gaussian_copula
46,Full HIF (arith.),99.9,0.9349998194439428,0.935,0.0015,0.9499,gaussian_copula
