seed,ablation,retention_pct,f1,accuracy,violation_rate,hif_score
42,No filtering,100.0,0.3349,,0.0,
42,LSE-only,26.7,0.7739,,0.733,0.3621
42,NIC-only,88.3,0.3415,,0.0845,0.7522
42,Rules-only,98.2,0.3459,,0.0185,0.9815
42,LSE + NIC,16.6,0.8428,,0.833,0.2744
42,Full HIF (geom.),16.6,0.8428,,0.833,0.2715
42,Full HIF (arith.),96.7,0.337,,0.0335,0.6986
43,No filtering,100.0,0.3318,,0.0,
43,LSE-only,26.6,0.8175,,0.734,0.3643
43,NIC-only,75.0,0.3676,,0.1965,0.6565
43,Rules-only,96.5,0.3318,,0.0345,0.9655
43,LSE + NIC,13.0,0.8556,,0.869,0.2442
43,Full HIF (geom.),12.7,0.8559,,0.8715,0.2388
43,Full HIF (arith.),92.6,0.3438,,0.074,0.6621
44,No filtering,100.0,0.3864,,0.0,
44,LSE-only,27.4,0.8229,,0.726,0.3707
44,NIC-only,88.4,0.412,,0.079,0.7581
44,Rules-only,95.8,0.3897,,0.0425,0.9575
44,LSE + NIC,17.5,0.8245,,0.822,0.281
44,Full HIF (geom.),17.2,0.8455,,0.825,0.272
44,Full HIF (arith.),94.4,0.3823,,0.056,0.6954
45,No filtering,100.0,0.3322,,0.0,
45,LSE-only,27.3,0.8412,,0.7275,0.3757
45,NIC-only,89.3,0.3513,,0.0795,0.7551
45,Rules-only,97.0,0.3452,,0.0295,0.9705
45,LSE + NIC,17.2,0.8237,,0.8265,0.2833
45,Full HIF (geom.),16.8,0.8223,,0.831,0.2762
45,Full HIF (arith.),96.4,0.3201,,0.0365,0.7004
46,No filtering,100.0,0.4172,,0.0,
46,LSE-only,28.0,0.8032,,0.72,0.363
46,NIC-only,87.2,0.4367,,0.095,0.7508
46,Rules-only,98.3,0.4295,,0.017,0.983
46,LSE + NIC,16.8,0.8222,,0.831,0.2732
46,Full HIF (geom.),16.7,0.8219,,0.8315,0.2692
46,Full HIF (arith.),96.4,0.401,,0.0365,0.6989
