dataset,seed,keep_frac,method,f1,n_retained,violation_rate
census_acs,42,0.5,Full,0.34771312100954316,2000,
census_acs,42,0.5,HIF,0.3599933376104492,1000,0.035
census_acs,42,0.5,Chamfer,0.35790656426075934,1000,
census_acs,42,0.5,Random,0.3533843768152911,1000,
census_acs,42,0.7,Full,0.34771312100954316,2000,
census_acs,42,0.7,HIF,0.34929193073085046,1400,0.035
census_acs,42,0.7,Chamfer,0.3635293494609376,1400,
census_acs,42,0.7,Random,0.3528614360313379,1400,
census_acs,42,0.9,Full,0.34771312100954316,2000,
census_acs,42,0.9,HIF,0.33503943895043364,1800,0.035
census_acs,42,0.9,Chamfer,0.31092447877047347,1800,
census_acs,42,0.9,Random,0.3409913645213028,1800,
census_acs,43,0.5,Full,0.34380284154705626,2000,
census_acs,43,0.5,HIF,0.32730519736181035,1000,0.0225
census_acs,43,0.5,Chamfer,0.33907875289979794,1000,
census_acs,43,0.5,Random,0.33444089430285484,1000,
census_acs,43,0.7,Full,0.34380284154705626,2000,
census_acs,43,0.7,HIF,0.3335926132475696,1400,0.0225
census_acs,43,0.7,Chamfer,0.3490873466701342,1400,
census_acs,43,0.7,Random,0.3319612636078274,1400,
census_acs,43,0.9,Full,0.34380284154705626,2000,
census_acs,43,0.9,HIF,0.35335457292090056,1800,0.0225
census_acs,43,0.9,Chamfer,0.33953820280264857,1800,
census_acs,43,0.9,Random,0.342653854897092,1800,
census_acs,44,0.5,Full,0.3594237362206691,2000,
census_acs,44,0.5,HIF,0.3735426176811715,1000,0.016
census_acs,44,0.5,Chamfer,0.34338058829854967,1000,
census_acs,44,0.5,Random,0.37529226877059574,1000,
census_acs,44,0.7,Full,0.3594237362206691,2000,
census_acs,44,0.7,HIF,0.36782531439888005,1400,0.016
census_acs,44,0.7,Chamfer,0.3610396107176988,1400,
census_acs,44,0.7,Random,0.35866585633959114,1400,
census_acs,44,0.9,Full,0.3594237362206691,2000,
census_acs,44,0.9,HIF,0.36814528542391756,1800,0.016
census_acs,44,0.9,Chamfer,0.3562036329054193,1800,
census_acs,44,0.9,Random,0.37093556779979764,1800,
census_acs,45,0.5,Full,0.35152494780041765,2000,
census_acs,45,0.5,HIF,0.34991077090805855,1000,0.018
census_acs,45,0.5,Chamfer,0.323170929230759,1000,
census_acs,45,0.5,Random,0.33359440802174306,1000,
census_acs,45,0.7,Full,0.35152494780041765,2000,
census_acs,45,0.7,HIF,0.333412095023809,1400,0.018
census_acs,45,0.7,Chamfer,0.33764878480806726,1400,
census_acs,45,0.7,Random,0.36354738302962664,1400,
census_acs,45,0.9,Full,0.35152494780041765,2000,
census_acs,45,0.9,HIF,0.3547994908006207,1800,0.018
census_acs,45,0.9,Chamfer,0.339231853463933,1800,
census_acs,45,0.9,Random,0.3521336368819928,1800,
census_acs,46,0.5,Full,0.33622340336472656,2000,
census_acs,46,0.5,HIF,0.37869237102548403,1000,0.0125
census_acs,46,0.5,Chamfer,0.3546268577183568,1000,
census_acs,46,0.5,Random,0.35379776566220544,1000,
census_acs,46,0.7,Full,0.33622340336472656,2000,
census_acs,46,0.7,HIF,0.34854759526188095,1400,0.0125
census_acs,46,0.7,Chamfer,0.34722405287357266,1400,
census_acs,46,0.7,Random,0.36024366580477946,1400,
census_acs,46,0.9,Full,0.33622340336472656,2000,
census_acs,46,0.9,HIF,0.35341014777541,1800,0.0125
census_acs,46,0.9,Chamfer,0.3634444055765963,1800,
census_acs,46,0.9,Random,0.3642221957786075,1800,
