seed,error_type,corruption_level,f1_threshold_default,f1_matched_rate,gmm_f1_threshold_default,gmm_f1_matched_rate
42,random_injection,0.4,0.3634517766497462,0.81375,0.624198717948718,0.75875
42,semantic_hallucination,0.4,0.2205071664829107,0.725,0.6122118883946623,0.72875
42,row_duplication,0.4,0.0196078431372549,0.41,0.5275862068965518,0.40375
42,feature_dropout,0.4,0.07628128724672228,0.54875,0.5761181780878128,0.46875
42,covariate_shift,0.4,0.019559902200488997,0.1575,0.31563565513882125,0.19625
43,random_injection,0.4,0.3844621513944223,0.805,0.6247528667457493,0.77
43,semantic_hallucination,0.4,0.23825136612021858,0.72375,0.6179188429087987,0.7225
43,row_duplication,0.4,0.026829268292682926,0.41375,0.5320239111870196,0.4175
43,feature_dropout,0.4,0.07151370679380215,0.54375,0.5246041934103551,0.435
43,covariate_shift,0.4,0.0024691358024691358,0.1425,0.31532846715328466,0.16875
44,random_injection,0.4,0.408243375858685,0.805,0.6446553858852662,0.7775
44,semantic_hallucination,0.4,0.2160970231532525,0.73375,0.6244761106454317,0.71375
44,row_duplication,0.4,0.00984009840098401,0.4075,0.4977168949771689,0.40375
44,feature_dropout,0.4,0.0625,0.5525,0.49338805289557686,0.41375
44,covariate_shift,0.4,0.0024752475247524753,0.15875,0.31573498964803315,0.23375
45,random_injection,0.4,0.364741641337386,0.78625,0.6510619852622453,0.7575
45,semantic_hallucination,0.4,0.20353982300884957,0.73125,0.6444249341527656,0.72125
45,row_duplication,0.4,0.012300123001230012,0.39375,0.49736967957914874,0.39375
45,feature_dropout,0.4,0.07801418439716312,0.51,0.4686729156388752,0.425
45,covariate_shift,0.4,0.004932182490752158,0.14875,0.33191489361702126,0.23875
46,random_injection,0.4,0.3326488706365503,0.78125,0.6464826357969724,0.74625
46,semantic_hallucination,0.4,0.2013274336283186,0.705,0.6203787195671776,0.67875
46,row_duplication,0.4,0.031476997578692496,0.39875,0.4755667506297229,0.395
46,feature_dropout,0.4,0.054958183990442055,0.535,0.35319377348362857,0.32
46,covariate_shift,0.4,0.00980392156862745,0.16875,0.3491891891891892,0.2725
47,random_injection,0.4,0.3685800604229607,0.8025,0.6469821971341728,0.7425
47,semantic_hallucination,0.4,0.20842572062084258,0.7025,0.6229946524064172,0.69625
47,row_duplication,0.4,0.017241379310344827,0.405,0.48393378773125606,0.395
47,feature_dropout,0.4,0.07847800237812129,0.545,0.4246153846153846,0.37375
47,covariate_shift,0.4,0.007407407407407408,0.18875,0.346723044397463,0.24375
48,random_injection,0.4,0.378,0.77,0.642620232172471,0.7525
48,semantic_hallucination,0.4,0.22562979189485213,0.71,0.6270042194092827,0.70625
48,row_duplication,0.4,0.019464720194647202,0.3925,0.5073126142595978,0.4
48,feature_dropout,0.4,0.08284023668639054,0.5225,0.46052009456264775,0.38625
48,covariate_shift,0.4,0.0024630541871921183,0.155,0.323499491353001,0.20125
49,random_injection,0.4,0.3904382470119522,0.77625,0.6518642647674906,0.73375
49,semantic_hallucination,0.4,0.2600216684723727,0.7175,0.6306001690617076,0.70125
49,row_duplication,0.4,0.007407407407407408,0.4275,0.5103638876093965,0.4125
49,feature_dropout,0.4,0.07866507747318235,0.5575,0.5264586160108549,0.44125
49,covariate_shift,0.4,0.004944375772558714,0.175,0.3242127000516262,0.225
50,random_injection,0.4,0.31611570247933884,0.7825,0.6295848448206368,0.755
50,semantic_hallucination,0.4,0.26180257510729615,0.72625,0.6182707993474714,0.7075
50,row_duplication,0.4,0.012269938650306749,0.4,0.5252082419991232,0.405
50,feature_dropout,0.4,0.07838479809976247,0.555,0.5669755686604886,0.4725
50,covariate_shift,0.4,0.007352941176470588,0.16625,0.3078481012658228,0.2025
51,random_injection,0.4,0.3872889771598808,0.795,0.6394779771615008,0.7675
51,semantic_hallucination,0.4,0.20727673649393605,0.7225,0.6244190959019856,0.71875
51,row_duplication,0.4,0.02195121951219512,0.41125,0.4984083674397453,0.39375
51,feature_dropout,0.4,0.05748502994011976,0.53875,0.4857667584940312,0.41
51,covariate_shift,0.4,0.0049261083743842365,0.1725,0.34181078331637843,0.22375
