seed,error_type,corruption_level,method,f1,precision,recall,roc_auc,pr_auc,n_flagged,n_true_errors
42,random_injection,0.4,HIF,0.3634517766497462,0.9675675675675676,0.22375,0.9031270833333334,0.8754607781566967,185,800
42,random_injection,0.4,IsolationForest,0.4132132132132132,0.3976878612716763,0.43,0.507228125,0.4020756440286929,865,800
42,random_injection,0.4,LOF,0.6214511041009464,0.4539170506912442,0.985,0.8566166666666667,0.8269953619197661,1736,800
42,random_injection,0.4,GMM,0.624198717948718,0.45931603773584906,0.97375,0.8749135416666667,0.8416177034192381,1696,800
42,semantic_hallucination,0.4,HIF,0.2205071664829107,0.9345794392523364,0.125,0.8327302083333332,0.7946034570511267,107,800
42,semantic_hallucination,0.4,IsolationForest,0.4267631103074141,0.4121071012805588,0.4425,0.5177239583333334,0.42130496881858476,859,800
42,semantic_hallucination,0.4,LOF,0.5997610513739546,0.440093512565751,0.94125,0.7230989583333333,0.6571705800179966,1711,800
42,semantic_hallucination,0.4,GMM,0.6122118883946623,0.452480573819486,0.94625,0.8307218749999999,0.8109112218037587,1673,800
42,row_duplication,0.4,HIF,0.0196078431372549,0.5,0.01,0.5108098958333334,0.40784607921259464,16,800
42,row_duplication,0.4,IsolationForest,0.41511697660467906,0.3990772779700115,0.4325,0.49503593749999997,0.39541583932079705,867,800
42,row_duplication,0.4,LOF,0.5431283532810566,0.40542205791743685,0.8225,0.516084375,0.421288309820904,1623,800
42,row_duplication,0.4,GMM,0.5275862068965518,0.4026315789473684,0.765,0.5132,0.4209609822867846,1520,800
42,feature_dropout,0.4,HIF,0.07628128724672228,0.8205128205128205,0.04,0.6618609375,0.5909662997839518,39,800
42,feature_dropout,0.4,IsolationForest,0.15691672401927048,0.17457886676875958,0.1425,0.26080416666666667,0.27781528178523085,653,800
42,feature_dropout,0.4,LOF,0.5132743362831859,0.38715829624920534,0.76125,0.46978333333333333,0.38009679005547503,1573,800
42,feature_dropout,0.4,GMM,0.5761181780878128,0.42883323152107516,0.8775,0.58968125,0.4711727549539946,1637,800
42,covariate_shift,0.4,HIF,0.019559902200488997,0.4444444444444444,0.01,0.2913854166666666,0.3629650551816659,18,800
42,covariate_shift,0.4,IsolationForest,0.3946406820950061,0.3847980997624703,0.405,0.4802729166666667,0.41611436107942246,842,800
42,covariate_shift,0.4,LOF,0.2795908426692645,0.22905027932960895,0.35875,0.21232187500000002,0.2664788826054174,1253,800
42,covariate_shift,0.4,GMM,0.31563565513882125,0.25857940941739826,0.405,0.25285104166666666,0.27696395258287054,1253,800
43,random_injection,0.4,HIF,0.3844621513944223,0.946078431372549,0.24125,0.8946333333333334,0.8586650183288279,204,800
43,random_injection,0.4,IsolationForest,0.4275449101796407,0.4103448275862069,0.44625,0.5167208333333333,0.39885889646884726,870,800
43,random_injection,0.4,LOF,0.610872115760657,0.44450768355150827,0.97625,0.8691458333333333,0.8387659145837539,1757,800
43,random_injection,0.4,GMM,0.6247528667457493,0.4569115095430885,0.9875,0.8863208333333333,0.8447382049374912,1729,800
43,semantic_hallucination,0.4,HIF,0.23825136612021858,0.9478260869565217,0.13625,0.8358125,0.8030452863027222,115,800
43,semantic_hallucination,0.4,IsolationForest,0.4019429265330905,0.3907910271546635,0.41375,0.5101020833333334,0.4141729984082453,847,800
43,semantic_hallucination,0.4,LOF,0.5963375796178344,0.4375,0.93625,0.721525,0.6573207312419709,1712,800
43,semantic_hallucination,0.4,GMM,0.6179188429087987,0.4552989934872706,0.96125,0.8398916666666667,0.8114651914520671,1689,800
43,row_duplication,0.4,HIF,0.026829268292682926,0.55,0.01375,0.5127901041666667,0.41550094555576333,20,800
43,row_duplication,0.4,IsolationForest,0.40483383685800606,0.391812865497076,0.41875,0.4935260416666667,0.39729887231196037,855,800
43,row_duplication,0.4,LOF,0.5385567010309278,0.40184615384615385,0.81625,0.5178510416666667,0.4126685855955371,1625,800
43,row_duplication,0.4,GMM,0.5320239111870196,0.4040207522697795,0.77875,0.515634375,0.4114694075703512,1542,800
43,feature_dropout,0.4,HIF,0.07151370679380215,0.7692307692307693,0.0375,0.6527989583333333,0.5884719388345743,39,800
43,feature_dropout,0.4,IsolationForest,0.15804195804195803,0.17936507936507937,0.14125,0.276290625,0.2821701855313959,630,800
43,feature_dropout,0.4,LOF,0.5138075313807532,0.38616352201257864,0.7675,0.49393541666666674,0.4017928571631668,1590,800
43,feature_dropout,0.4,GMM,0.5246041934103551,0.39882888744307093,0.76625,0.5318833333333334,0.4536263446049363,1537,800
43,covariate_shift,0.4,HIF,0.0024691358024691358,0.1,0.00125,0.27027552083333334,0.3569903891115148,10,800
43,covariate_shift,0.4,IsolationForest,0.3968918111177525,0.38029782359679265,0.415,0.4732166666666666,0.38757111620561874,873,800
43,covariate_shift,0.4,LOF,0.2858517805582291,0.2323943661971831,0.37125,0.20303645833333334,0.2645486558227675,1278,800
43,covariate_shift,0.4,GMM,0.31532846715328466,0.25816733067729086,0.405,0.2317875,0.2700305677295736,1255,800
44,random_injection,0.4,HIF,0.408243375858685,0.9497716894977168,0.26,0.90079375,0.8637703403047878,219,800
44,random_injection,0.4,IsolationForest,0.44902912621359226,0.4363207547169811,0.4625,0.5364770833333333,0.41874130413650196,848,800
44,random_injection,0.4,LOF,0.6154449235593885,0.44831524842946885,0.98125,0.8660604166666668,0.8266148606418069,1751,800
44,random_injection,0.4,GMM,0.6446553858852662,0.48120764017252005,0.97625,0.8858447916666667,0.8528520460642628,1623,800
44,semantic_hallucination,0.4,HIF,0.2160970231532525,0.9158878504672897,0.1225,0.8424354166666667,0.7992630308156594,107,800
44,semantic_hallucination,0.4,IsolationForest,0.4155681104833647,0.41740226986128626,0.41375,0.5298885416666667,0.41332273116724305,793,800
44,semantic_hallucination,0.4,LOF,0.593996840442338,0.4341801385681293,0.94,0.7403791666666667,0.6740407016413574,1732,800
44,semantic_hallucination,0.4,GMM,0.6244761106454317,0.4697351828499369,0.93125,0.8259645833333333,0.8030014278907784,1586,800
