error_type,corruption_level,method,f1_mean,f1_sem,precision_mean,recall_mean,roc_auc_mean,pr_auc_mean
covariate_shift,0.4,HIF,0.007,0.002,0.206,0.003,0.289,0.355
covariate_shift,0.4,IsolationForest,0.398,0.005,0.394,0.402,0.49,0.411
covariate_shift,0.4,LOF,0.289,0.002,0.236,0.373,0.211,0.266
feature_dropout,0.4,HIF,0.072,0.003,0.764,0.038,0.652,0.582
feature_dropout,0.4,IsolationForest,0.157,0.002,0.183,0.138,0.28,0.284
feature_dropout,0.4,LOF,0.518,0.002,0.391,0.771,0.489,0.397
random_injection,0.4,HIF,0.369,0.009,0.946,0.23,0.89,0.852
random_injection,0.4,IsolationForest,0.428,0.004,0.417,0.44,0.521,0.411
random_injection,0.4,LOF,0.617,0.001,0.45,0.982,0.864,0.829
row_duplication,0.4,HIF,0.018,0.002,0.427,0.009,0.506,0.407
row_duplication,0.4,IsolationForest,0.404,0.004,0.401,0.408,0.501,0.403
row_duplication,0.4,LOF,0.535,0.002,0.401,0.804,0.508,0.409
semantic_hallucination,0.4,HIF,0.224,0.007,0.917,0.128,0.83,0.789
semantic_hallucination,0.4,IsolationForest,0.413,0.004,0.408,0.418,0.512,0.406
semantic_hallucination,0.4,LOF,0.593,0.002,0.436,0.93,0.719,0.654
