seed,error_type,corruption_level,method,f1,precision,recall,roc_auc,pr_auc,n_flagged,n_true_errors
42,random_injection,0.4,HIF,0.7097744360902256,0.59,0.8905660377358491,0.8409183335697736,0.7535430537618174,400,265
42,random_injection,0.4,IsolationForest,0.41228070175438597,0.33651551312649164,0.5320754716981132,0.3693289828344446,0.32535074207324377,419,265
42,random_injection,0.4,LOF,0.5263157894736842,0.4096638655462185,0.7358490566037735,0.5774436090225563,0.4923229768086439,476,265
42,random_injection,0.4,GMM,0.6011428571428571,0.4311475409836066,0.9924528301886792,0.8697120158887786,0.7881975248200143,610,265
42,semantic_hallucination,0.4,HIF,0.7058823529411765,0.5783132530120482,0.9056603773584906,0.7949118078214404,0.6409257354979394,415,265
42,semantic_hallucination,0.4,IsolationForest,0.525,0.4153846153846154,0.7132075471698113,0.4949449094434199,0.3776205443422869,455,265
42,semantic_hallucination,0.4,LOF,0.5248041775456919,0.40119760479041916,0.7584905660377359,0.5406913510190571,0.4618668637095735,501,265
42,semantic_hallucination,0.4,GMM,0.6091954022988506,0.4380165289256198,1.0,0.9474440819028703,0.8956431688561836,605,265
42,row_duplication,0.4,HIF,0.4280442804428044,0.4187725631768953,0.4377358490566038,0.5214451222395612,0.4217919463439155,277,265
42,row_duplication,0.4,IsolationForest,0.48739495798319327,0.38752783964365256,0.6566037735849056,0.4915401711826737,0.39711348674872043,449,265
42,row_duplication,0.4,LOF,0.5149863760217984,0.40298507462686567,0.7132075471698113,0.5043977869201306,0.39436097966899797,469,265
42,row_duplication,0.4,GMM,0.5430622009569378,0.3975481611208406,0.8566037735849057,0.49931432354471084,0.39637328582795606,571,265
42,feature_dropout,0.4,HIF,0.6153846153846154,0.5348189415041783,0.7245283018867924,0.6991630018442332,0.5546931480390416,359,265
42,feature_dropout,0.4,IsolationForest,0.2893081761006289,0.24797843665768193,0.3471698113207547,0.2626660992102898,0.2801973629187339,371,265
42,feature_dropout,0.4,LOF,0.554089709762533,0.4259634888438134,0.7924528301886793,0.623870998250343,0.5109872946293511,493,265
42,feature_dropout,0.4,GMM,0.5863267670915412,0.4230769230769231,0.9547169811320755,0.8316073201872606,0.7612241819083069,598,265
42,covariate_shift,0.4,HIF,0.004618937644341801,0.005952380952380952,0.0037735849056603774,0.20250153686102046,0.3362133082775315,168,265
42,covariate_shift,0.4,IsolationForest,0.3128834355828221,0.26356589147286824,0.3849056603773585,0.32172412162481673,0.32141851876937666,387,265
42,covariate_shift,0.4,LOF,0.2936630602782071,0.2486910994764398,0.3584905660377358,0.27780299806119074,0.3047399752789098,382,265
42,covariate_shift,0.4,GMM,0.27692307692307694,0.22,0.37358490566037733,0.16298292902066489,0.25537996718498446,450,265
43,random_injection,0.4,HIF,0.7053291536050157,0.6032171581769437,0.8490566037735849,0.8220976970728708,0.7277886340800589,373,265
43,random_injection,0.4,IsolationForest,0.3721633888048411,0.3106060606060606,0.4641509433962264,0.3681846124745827,0.31843399010373263,396,265
43,random_injection,0.4,LOF,0.4959785522788204,0.38461538461538464,0.6981132075471698,0.5272000756608503,0.46689891165983255,481,265
43,random_injection,0.4,GMM,0.6091015169194866,0.4408783783783784,0.9849056603773585,0.8136000378304252,0.7268601649648462,592,265
43,semantic_hallucination,0.4,HIF,0.7455089820359282,0.6178660049627791,0.939622641509434,0.8333380621364732,0.6640567836593327,403,265
43,semantic_hallucination,0.4,IsolationForest,0.49444444444444446,0.3912087912087912,0.6716981132075471,0.5110701281505652,0.4124864113027634,455,265
43,semantic_hallucination,0.4,LOF,0.5699614890885751,0.43190661478599224,0.8377358490566038,0.6074194921265428,0.49275269027145907,514,265
