error_type,corruption_level,method,f1_mean,f1_sem,precision_mean,recall_mean,roc_auc_mean,pr_auc_mean
covariate_shift,0.4,GMM,0.294,0.006,0.235,0.393,0.176,0.258
covariate_shift,0.4,HIF,0.011,0.002,0.015,0.009,0.187,0.344
covariate_shift,0.4,IsolationForest,0.336,0.005,0.281,0.416,0.321,0.324
covariate_shift,0.4,LOF,0.288,0.005,0.243,0.353,0.275,0.31
feature_dropout,0.4,GMM,0.591,0.003,0.429,0.949,0.817,0.767
feature_dropout,0.4,HIF,0.624,0.006,0.547,0.726,0.716,0.566
feature_dropout,0.4,IsolationForest,0.31,0.006,0.263,0.378,0.272,0.284
feature_dropout,0.4,LOF,0.544,0.003,0.415,0.788,0.613,0.517
random_injection,0.4,GMM,0.606,0.002,0.437,0.987,0.842,0.77
random_injection,0.4,HIF,0.694,0.006,0.582,0.86,0.807,0.701
random_injection,0.4,IsolationForest,0.404,0.007,0.33,0.52,0.359,0.318
random_injection,0.4,LOF,0.51,0.004,0.395,0.719,0.544,0.473
row_duplication,0.4,GMM,0.55,0.003,0.405,0.86,0.515,0.41
row_duplication,0.4,HIF,0.403,0.006,0.403,0.403,0.504,0.409
row_duplication,0.4,IsolationForest,0.508,0.006,0.4,0.696,0.501,0.403
row_duplication,0.4,LOF,0.515,0.003,0.398,0.731,0.505,0.406
semantic_hallucination,0.4,GMM,0.611,0.002,0.44,1.0,0.955,0.909
semantic_hallucination,0.4,HIF,0.72,0.003,0.599,0.902,0.797,0.627
semantic_hallucination,0.4,IsolationForest,0.496,0.008,0.392,0.677,0.473,0.373
semantic_hallucination,0.4,LOF,0.552,0.005,0.42,0.805,0.583,0.477
