dataset,seed,corruption_level,hif_score,hif_violation_rate,jcd,mm,ks,rule_violation_rate,recall,jcd_delta
census_acs,42,0.001,0.9429,0.0065,88.7,89.04,92.48,0.006,0.0,-0.01
census_acs,42,0.005,0.9417,0.0075,88.71,89.06,92.48,0.0065,0.2,0.0
census_acs,42,0.01,0.9404,0.009,88.68,89.03,92.43,0.007,0.25,-0.03
census_acs,42,0.05,0.9299,0.016,88.33,89.07,92.47,0.0085,0.19,-0.38
census_acs,42,0.1,0.9226,0.016,88.0,89.27,92.68,0.009,0.095,-0.71
census_acs,43,0.001,0.9375,0.008,88.93,89.04,92.37,0.0065,0.0,0.0
census_acs,43,0.005,0.9368,0.009,88.9,89.04,92.37,0.0065,0.2,-0.03
census_acs,43,0.01,0.9365,0.008,88.87,89.05,92.39,0.0065,0.0,-0.06
census_acs,43,0.05,0.9268,0.013,88.53,89.07,92.47,0.008,0.11,-0.4
census_acs,43,0.1,0.9154,0.022,87.91,89.14,92.41,0.01,0.145,-1.02
census_acs,44,0.001,0.9404,0.008,88.88,89.02,92.92,0.007,0.0,-0.01
census_acs,44,0.005,0.9393,0.008,88.87,89.07,92.93,0.007,0.0,-0.02
census_acs,44,0.01,0.9387,0.0085,88.86,89.04,92.96,0.007,0.05,-0.03
census_acs,44,0.05,0.9307,0.0115,88.55,89.03,92.98,0.008,0.07,-0.34
census_acs,44,0.1,0.9183,0.02,87.85,89.21,93.08,0.0105,0.125,-1.04
