dataset,seed,corruption_level,hif_score,hif_violation_rate,jcd,mm,ks,rule_violation_rate,recall,jcd_delta
census_acs,42,0.0,0.9431,0.0065,88.71,89.05,0.9247777777777778,0.006,,0.0
census_acs,42,0.1,0.8921,0.034,85.35,89.05,0.9247777777777778,0.0095,,-3.36
census_acs,42,0.2,0.8418,0.0635,80.38,89.05,0.9247777777777778,0.0135,,-8.33
census_acs,42,0.4,0.7625,0.1135,71.67,89.05,0.9247777777777778,0.02,,-17.04
census_acs,42,0.6,0.7096,0.165,64.62,89.05,0.9247777777777778,0.022,,-24.09
census_acs,43,0.0,0.9378,0.008,88.93,89.04,0.9237222222222221,0.0065,,0.0
census_acs,43,0.1,0.8747,0.0495,84.82,89.04,0.9237222222222221,0.014,,-4.11
census_acs,43,0.2,0.8339,0.0645,80.92,89.04,0.9237222222222221,0.0185,,-8.01
census_acs,43,0.4,0.7629,0.1185,72.21,89.04,0.9237222222222221,0.0235,,-16.72
census_acs,43,0.6,0.7132,0.169,65.05,89.04,0.9237222222222221,0.0295,,-23.88
census_acs,44,0.0,0.9406,0.008,88.89,89.02,0.9292222222222222,0.007,,0.0
census_acs,44,0.1,0.8868,0.0335,85.59,89.02,0.9292222222222222,0.012,,-3.3
census_acs,44,0.2,0.8425,0.0535,80.51,89.02,0.9292222222222222,0.013,,-8.38
census_acs,44,0.4,0.7739,0.112,72.46,89.02,0.9292222222222222,0.02,,-16.43
census_acs,44,0.6,0.7125,0.1615,65.18,89.02,0.9292222222222222,0.0275,,-23.71
