dataset,generator,seed,n_rows,flag_rate,base_violation_rate,confirmation_rate_flagged,confirmation_rate_unflagged,n_flagged,n_unflagged,median_severity_flagged,median_severity_unflagged,spearman_penalty_severity
supermarket_sales,gaussian,42,2000,0.3245,0.998,1.0,0.997,649,1351,0.3866,0.1416,0.5219
supermarket_sales,gaussian,43,2000,0.3,0.998,1.0,0.9971,600,1400,0.4377,0.1648,0.5387
supermarket_sales,gaussian,44,2000,0.3075,0.9965,1.0,0.9949,615,1385,0.3645,0.1641,0.4955
supermarket_sales,gaussian,45,2000,0.315,0.9965,1.0,0.9949,630,1370,0.4111,0.1629,0.5382
supermarket_sales,gaussian,46,2000,0.3185,0.9965,1.0,0.9949,637,1363,0.4279,0.1576,0.5639
supermarket_sales,gaussian,47,2000,0.3255,0.997,1.0,0.9956,651,1349,0.4313,0.1544,0.5515
supermarket_sales,gaussian,48,2000,0.355,0.9965,1.0,0.9946,710,1290,0.4027,0.1486,0.5556
supermarket_sales,gaussian,49,2000,0.327,0.999,1.0,0.9985,654,1346,0.3794,0.1598,0.5188
supermarket_sales,gaussian,50,2000,0.319,0.998,1.0,0.9971,638,1362,0.4116,0.1554,0.5338
supermarket_sales,gaussian,51,2000,0.3085,0.9975,1.0,0.9964,617,1383,0.3909,0.1632,0.5402
supermarket_sales,vine,42,2000,0.997,1.0,1.0,1.0,1994,6,0.9099,0.1667,0.1049
supermarket_sales,vine,43,2000,0.998,1.0,1.0,1.0,1996,4,0.9213,0.2772,0.1434
supermarket_sales,vine,44,2000,0.9975,1.0,1.0,1.0,1995,5,0.893,0.3399,0.0845
supermarket_sales,vine,45,2000,0.9975,1.0,1.0,1.0,1995,5,0.9012,0.4636,0.0528
supermarket_sales,vine,46,2000,0.9945,1.0,1.0,1.0,1989,11,0.9028,0.2745,0.0891
supermarket_sales,vine,47,2000,0.998,1.0,1.0,1.0,1996,4,0.9079,0.2943,0.0649
supermarket_sales,vine,48,2000,0.998,1.0,1.0,1.0,1996,4,0.8926,0.2625,0.0893
supermarket_sales,vine,49,2000,0.998,1.0,1.0,1.0,1996,4,0.8965,0.3423,0.097
supermarket_sales,vine,50,2000,0.998,1.0,1.0,1.0,1996,4,0.9033,0.1545,0.1523
supermarket_sales,vine,51,2000,0.9955,1.0,1.0,1.0,1991,9,0.8993,0.4977,0.0773
supermarket_sales,ctgan,42,2000,0.9985,1.0,1.0,1.0,1997,3,0.8933,0.2013,0.0168
