dataset,target,generator,seed,n_real_total,n_real_train,n_real_test,n_synthetic,test_size,retention_pct,hif_score,violation_rate,f1_full,accuracy_full,f1_hif,accuracy_hif
census_acs,household_income,ctgan,42,2000,1400,600,2000,0.3,60.3,0.5652,0.397,0.336283185840708,0.5066666666666667,0.3507917708470413,0.5066666666666667
census_acs,household_income,ctgan,43,2000,1400,600,2000,0.3,54.7,0.5322,0.453,0.3322071382518523,0.485,0.3445749522308292,0.4883333333333333
census_acs,household_income,ctgan,44,2000,1400,600,2000,0.3,62.05,0.5395,0.3795,0.3150684931506849,0.46,0.3676561478469942,0.5083333333333333
census_acs,household_income,ctgan,45,2000,1400,600,2000,0.3,64.5,0.5703,0.355,0.3435737781954887,0.5033333333333333,0.3952111918213613,0.5316666666666666
census_acs,household_income,ctgan,46,2000,1400,600,2000,0.3,70.85000000000001,0.5991,0.2915,0.3429940056669589,0.515,0.3392070484581498,0.5133333333333333
census_acs,household_income,ctgan,47,2000,1400,600,2000,0.3,68.65,0.5847,0.3135,0.3309579070096869,0.4883333333333333,0.3288590604026846,0.49
census_acs,household_income,ctgan,48,2000,1400,600,2000,0.3,52.45,0.5098,0.4755,0.330347741853968,0.47,0.4280764303942259,0.525
census_acs,household_income,ctgan,49,2000,1400,600,2000,0.3,71.15,0.6003,0.2885,0.338527611461067,0.505,0.357594622338488,0.515
census_acs,household_income,ctgan,50,2000,1400,600,2000,0.3,71.2,0.6167,0.288,0.5607419756026567,0.585,0.6792390545439673,0.695
census_acs,household_income,ctgan,51,2000,1400,600,2000,0.3,66.35,0.5879,0.3365,0.37541863479387944,0.40166666666666667,0.48172757475083056,0.5233333333333333
