dataset,target,generator,seed,n_real_total,n_real_train,n_real_test,n_synthetic,test_size,retention_pct,hif_score,violation_rate,f1_full,accuracy_full,f1_hif,accuracy_hif
census_acs,household_income,vine,42,2000,1400,600,2000,0.3,82.19999999999999,0.695,0.178,0.5748557546310356,0.58,0.6453900709219857,0.6466666666666666
census_acs,household_income,vine,43,2000,1400,600,2000,0.3,79.14999999999999,0.6551,0.2085,0.5466091888319748,0.5483333333333333,0.6376811594202898,0.64
census_acs,household_income,vine,44,2000,1400,600,2000,0.3,77.85,0.6521,0.2215,0.4416651157364326,0.4416666666666666,0.6366303296996366,0.6366666666666667
census_acs,household_income,vine,45,2000,1400,600,2000,0.3,79.45,0.6832,0.2055,0.4597271622169195,0.4666666666666667,0.6950265874257116,0.6966666666666667
census_acs,household_income,vine,46,2000,1400,600,2000,0.3,78.2,0.6627,0.218,0.513198110586274,0.5133333333333333,0.6488226554409977,0.6533333333333333
census_acs,household_income,vine,47,2000,1400,600,2000,0.3,79.4,0.6575,0.206,0.4508694566935685,0.4683333333333333,0.6016810314124938,0.6116666666666667
census_acs,household_income,vine,48,2000,1400,600,2000,0.3,74.6,0.6386,0.254,0.4565217391304348,0.46,0.5980303487086724,0.6
census_acs,household_income,vine,49,2000,1400,600,2000,0.3,76.85,0.6472,0.2315,0.495743415486764,0.4983333333333333,0.6097875509999889,0.61
census_acs,household_income,vine,50,2000,1400,600,2000,0.3,82.69999999999999,0.6885,0.173,0.47154776491377226,0.4716666666666667,0.6013466366054971,0.6016666666666667
census_acs,household_income,vine,51,2000,1400,600,2000,0.3,79.14999999999999,0.6591,0.2085,0.3975953876832453,0.3983333333333333,0.5749704840613932,0.575
