dataset,generator,target,seed,n_real_total,n_real_train,n_real_test,n_synthetic,test_size,label_floor,f1_full,f1_hif,retention_hif_pct,f1_label_model,retention_label_model_pct
census_acs,ctgan,household_income,42,2000,1400,600,2000,0.3,0.4444444444444444,0.336283185840708,0.3507917708470413,60.3,0.751549855662297,62.35000000000001
census_acs,vine,household_income,42,2000,1400,600,2000,0.3,0.4444444444444444,0.5748557546310356,0.6453900709219857,82.19999999999999,0.944974168429068,57.65
online_purchases,ctgan,item_total,42,664,464,200,664,0.3,0.8394348894348894,0.2907801418439716,0.2907801418439716,31.92771084337349,0.8049561151259033,47.43975903614458
online_purchases,vine,item_total,42,664,464,200,664,0.3,0.8394348894348894,0.3793990766669189,0.6373758267575781,19.57831325301205,0.989665150888797,22.289156626506024
census_acs,ctgan,household_income,43,2000,1400,600,2000,0.3,0.45642292490118574,0.33220713825185233,0.3445749522308292,54.7,0.9097100689993423,53.449999999999996
census_acs,ctgan,household_income,44,2000,1400,600,2000,0.3,0.4704963235294118,0.3150684931506849,0.36765614784699424,62.050000000000004,0.9144752103881875,40.45
census_acs,ctgan,household_income,45,2000,1400,600,2000,0.3,0.47058823529411764,0.34357377819548873,0.39521119182136133,64.5,0.9210965895259919,47.199999999999996
census_acs,ctgan,household_income,46,2000,1400,600,2000,0.3,0.4523425499231951,0.3429940056669589,0.3392070484581498,70.85000000000001,0.7794889435756309,62.849999999999994
census_acs,ctgan,household_income,47,2000,1400,600,2000,0.3,0.45714285714285713,0.33095790700968697,0.3288590604026846,68.65,0.8491827910221397,55.00000000000001
census_acs,ctgan,household_income,48,2000,1400,600,2000,0.3,0.5,0.33034774185396804,0.4280764303942259,52.449999999999996,0.8894583458948849,67.7
census_acs,ctgan,household_income,49,2000,1400,600,2000,0.3,0.4665891472868217,0.338527611461067,0.35759462233848804,71.15,0.7983286778938097,78.85
census_acs,ctgan,household_income,50,2000,1400,600,2000,0.3,0.4594594594594595,0.5607419756026567,0.6792390545439673,71.2,0.9278908636606287,55.25
census_acs,ctgan,household_income,51,2000,1400,600,2000,0.3,0.48484848484848486,0.37541863479387944,0.48172757475083056,66.35,0.8891675249652948,49.0
census_acs,vine,household_income,43,2000,1400,600,2000,0.3,0.45642292490118574,0.5466091888319748,0.6376811594202898,79.14999999999999,0.9416626154594069,56.39999999999999
census_acs,vine,household_income,44,2000,1400,600,2000,0.3,0.4704963235294118,0.44166511573643263,0.6366303296996366,77.85,0.9466376138119643,50.6
census_acs,vine,household_income,45,2000,1400,600,2000,0.3,0.47058823529411764,0.45972716221691956,0.6950265874257116,79.45,0.9399833287024173,51.4
census_acs,vine,household_income,46,2000,1400,600,2000,0.3,0.4523425499231951,0.513198110586274,0.6488226554409977,78.2,0.9332435830394197,54.65
census_acs,vine,household_income,47,2000,1400,600,2000,0.3,0.45714285714285713,0.4508694566935685,0.6016810314124938,79.4,0.9166518492176388,55.15
census_acs,vine,household_income,48,2000,1400,600,2000,0.3,0.5,0.4565217391304348,0.5980303487086724,74.6,0.9399993333259259,50.05
census_acs,vine,household_income,49,2000,1400,600,2000,0.3,0.4665891472868217,0.495743415486764,0.6097875509999889,76.85,0.9366638517267434,52.849999999999994
census_acs,vine,household_income,50,2000,1400,600,2000,0.3,0.4594594594594595,0.47154776491377226,0.6013466366054971,82.69999999999999,0.9260222381635581,52.25
census_acs,vine,household_income,51,2000,1400,600,2000,0.3,0.48484848484848486,0.3975953876832453,0.5749704840613932,79.14999999999999,0.9249831212022706,51.5
online_purchases,ctgan,item_total,43,664,464,200,664,0.3,0.8611111111111112,0.40379268017735914,0.9798366770843835,18.67469879518072,0.9699519230769231,28.162650602409638
online_purchases,ctgan,item_total,44,664,464,200,664,0.3,0.8766071428571429,0.5334329375376792,0.8323809523809524,18.67469879518072,0.9799498746867168,21.686746987951807
online_purchases,ctgan,item_total,45,664,464,200,664,0.3,0.8888888888888888,0.5213675213675214,0.96999699969997,16.867469879518072,0.9899909918927035,16.716867469879517
online_purchases,ctgan,item_total,46,664,464,200,664,0.3,0.8893393393393393,0.46357989836250707,0.3670886075949367,21.837349397590362,0.3670886075949367,28.76506024096386
online_purchases,ctgan,item_total,47,664,464,200,664,0.3,0.854,0.32432432432432434,0.32432432432432434,26.656626506024097,0.894681411269089,13.403614457831326
online_purchases,ctgan,item_total,48,664,464,200,664,0.3,0.8811624649859944,0.47987336047037543,0.8899559823929573,10.843373493975903,0.9949636120974037,15.66265060240964
online_purchases,ctgan,item_total,49,664,464,200,664,0.3,0.8733785822021116,0.3466666666666667,0.5388245388245388,15.36144578313253,0.9443868651887055,25.0
online_purchases,ctgan,item_total,50,664,464,200,664,0.3,0.9166666666666666,0.3946571917357547,0.5348977681133158,18.97590361445783,0.9547454431175362,20.933734939759034
online_purchases,ctgan,item_total,51,664,464,200,664,0.3,0.8795278365045807,0.33554817275747506,0.4775615626192363,16.265060240963855,1.0,12.650602409638553
online_purchases,vine,item_total,43,664,464,200,664,0.3,0.8611111111111112,0.5098039215686274,0.8498648783905515,16.566265060240966,0.9949787853681806,19.57831325301205
online_purchases,vine,item_total,44,664,464,200,664,0.3,0.8766071428571429,0.5849896247406186,0.9248478168290788,15.512048192771086,0.9849695633658158,21.084337349397593
online_purchases,vine,item_total,45,664,464,200,664,0.3,0.8888888888888888,0.46,0.9194847020933977,17.92168674698795,0.9899909918927035,20.180722891566266
online_purchases,vine,item_total,46,664,464,200,664,0.3,0.8893393393393393,0.45433155615629145,0.8924152770306617,12.198795180722891,0.9642483209479302,19.879518072289155
online_purchases,vine,item_total,47,664,464,200,664,0.3,0.854,0.4348728463904379,0.6921182266009853,17.319277108433734,0.9899749373433584,24.397590361445783
online_purchases,vine,item_total,48,664,464,200,664,0.3,0.8811624649859944,0.38,0.6637242538881883,16.867469879518072,0.9949636120974037,18.373493975903614
online_purchases,vine,item_total,49,664,464,200,664,0.3,0.8733785822021116,0.399459513562206,0.7421572840567254,17.16867469879518,0.9899638699317543,17.319277108433734
online_purchases,vine,item_total,50,664,464,200,664,0.3,0.9166666666666666,0.4780978439867244,0.8839526728726759,13.403614457831326,0.9949938674876724,17.620481927710845
online_purchases,vine,item_total,51,664,464,200,664,0.3,0.8795278365045807,0.4978126375190909,0.8553121124431583,20.632530120481928,1.0,17.16867469879518
