dataset,target,generator,seed,n_real_total,n_real_train,n_real_test,n_synthetic,test_size,retention_pct,hif_score,violation_rate,f1_full,accuracy_full,f1_hif,accuracy_hif
online_purchases,item_total,ctgan,42,664,464,200,664,0.3,31.92771084337349,0.3769,0.6807,0.2907801418439716,0.41,0.2907801418439716,0.41
online_purchases,item_total,ctgan,43,664,464,200,664,0.3,18.67469879518072,0.3042,0.8133,0.40379268017735914,0.405,0.9798366770843835,0.98
online_purchases,item_total,ctgan,44,664,464,200,664,0.3,18.67469879518072,0.3155,0.8133,0.5334329375376792,0.555,0.8323809523809524,0.835
online_purchases,item_total,ctgan,45,664,464,200,664,0.3,16.867469879518072,0.311,0.8313,0.5213675213675214,0.58,0.96999699969997,0.97
online_purchases,item_total,ctgan,46,664,464,200,664,0.3,21.837349397590362,0.3307,0.7816,0.46357989836250707,0.62,0.3670886075949367,0.58
online_purchases,item_total,ctgan,47,664,464,200,664,0.3,26.656626506024097,0.373,0.7334,0.32432432432432434,0.48,0.32432432432432434,0.48
online_purchases,item_total,ctgan,48,664,464,200,664,0.3,10.843373493975903,0.2601,0.8916,0.47987336047037543,0.54,0.8899559823929573,0.89
online_purchases,item_total,ctgan,49,664,464,200,664,0.3,15.36144578313253,0.2384,0.8464,0.3466666666666667,0.51,0.5388245388245388,0.57
online_purchases,item_total,ctgan,50,664,464,200,664,0.3,18.97590361445783,0.3034,0.8102,0.3946571917357547,0.54,0.5348977681133158,0.615
online_purchases,item_total,ctgan,51,664,464,200,664,0.3,16.265060240963855,0.2939,0.8373,0.33554817275747506,0.505,0.4775615626192363,0.555
