dataset,target,generator,seed,requested_n_rows,n_real_total,n_real_train,n_real_test,n_synthetic,test_size,retention_pct,hif_score,violation_rate,f1_full,accuracy_full,f1_hif,accuracy_hif
online_purchases,item_total,vine,42,2000,664,464,200,664,0.3,19.57831325301205,0.3103,0.8042,0.37939907666691897,0.385,0.6373758267575781,0.645
online_purchases,item_total,vine,43,2000,664,464,200,664,0.3,16.566265060240966,0.2916,0.8343,0.5098039215686274,0.51,0.8498648783905515,0.85
online_purchases,item_total,vine,44,2000,664,464,200,664,0.3,15.512048192771086,0.2857,0.8449,0.5849896247406186,0.585,0.9248478168290788,0.925
online_purchases,item_total,vine,45,2000,664,464,200,664,0.3,17.92168674698795,0.3037,0.8208,0.46,0.46,0.9194847020933977,0.92
online_purchases,item_total,vine,46,2000,664,464,200,664,0.3,12.198795180722891,0.2518,0.878,0.45433155615629145,0.455,0.8924152770306617,0.895
online_purchases,item_total,vine,47,2000,664,464,200,664,0.3,17.319277108433734,0.3044,0.8268,0.4348728463904379,0.435,0.6921182266009853,0.7
online_purchases,item_total,vine,48,2000,664,464,200,664,0.3,16.867469879518072,0.2956,0.8313,0.38,0.38,0.6637242538881883,0.68
online_purchases,item_total,vine,49,2000,664,464,200,664,0.3,17.16867469879518,0.2807,0.8283,0.399459513562206,0.4,0.7421572840567254,0.745
online_purchases,item_total,vine,50,2000,664,464,200,664,0.3,13.403614457831326,0.262,0.866,0.4780978439867244,0.485,0.8839526728726759,0.885
online_purchases,item_total,vine,51,2000,664,464,200,664,0.3,20.632530120481928,0.3092,0.7937,0.4978126375190909,0.515,0.8553121124431583,0.86
