generator,target,target_is_hub,n_valid_seeds,retention_mean_pct,delta_f1_mean,paired_ttest_p,delta_f1_ci_low,delta_f1_ci_high
ctgan,household_income,True,10,64.22,0.046681738180762114,0.011016198674855853,0.013572190763877737,0.07979128559764649
ctgan,housing_cost,True,10,64.22,0.049843522789534675,0.009955514705939736,0.01517799170259277,0.08450905387647659
ctgan,poverty_status,True,10,64.22,0.0440338959561384,0.026828795079008344,0.00632978489648512,0.08173800701579167
ctgan,education,True,10,64.22,0.028288927938391745,0.10102210889481122,-0.006743477954334713,0.06332133383111821
ctgan,tenure,False,10,64.22,0.019396091751457206,0.09094297049998298,-0.0037861293596471446,0.04257831286256156
ctgan,cost_burden_pct,False,10,64.22,0.001232355105538846,0.9062622907321963,-0.021785627161147642,0.024250337372225334
ctgan,employment_status,False,10,64.22,-0.0013750265343846213,0.8310814615327017,-0.015539448204565367,0.012789395135796125
ctgan,household_size,True,10,64.22,0.0028818889561687765,0.7586899752852645,-0.017702815322250032,0.023466593234587583
ctgan,age_group,False,10,64.22,-0.006632036321357587,0.5789478265296627,-0.03269348898447087,0.019429416341755698
vine,household_income,True,10,78.95500000000001,0.1441033758786246,6.350354439853254e-06,0.10916609359657634,0.17904065816067286
vine,housing_cost,True,10,78.95500000000001,0.09381396651473997,4.76425660653777e-06,0.0718472006670413,0.11578073236243865
vine,poverty_status,True,10,78.95500000000001,0.1220596136837651,4.4291948794424887e-07,0.1004914377205759,0.1436277896469543
vine,education,True,10,78.95500000000001,0.05295816513916098,0.001002246703778744,0.027891827873142025,0.07802450240517994
vine,tenure,False,10,78.95500000000001,0.03669773146844514,0.005322720305118384,0.01394969972929876,0.059445763207591526
vine,cost_burden_pct,False,10,78.95500000000001,0.01052734113875084,0.16141723796457622,-0.0050811882867662205,0.026135870564267902
vine,employment_status,False,10,78.95500000000001,-0.013903095569860423,0.3588108018075115,-0.04642750858261571,0.01862131744289486
vine,household_size,True,10,78.95500000000001,0.01581111840429546,0.09282838191267505,-0.003215514504330136,0.03483775131292106
vine,age_group,False,10,78.95500000000001,0.0271982721717857,0.0039020910880580937,0.01122023064228288,0.04317631370128852
