dataset,generator,seed,rows,ks_score,corr_distance,alpha_precision,beta_recall,authenticity,hif_score,hif_violation_rate,hif_rule_violation_rate,time_s
supermarket_sales,gaussian,42,1000,89.64285714285714,0.196498596726239,0.9032,0.9239701149425287,0.458,0.9716,0.018,0.018,19.0
supermarket_sales,gaussian,43,1000,90.15714285714284,0.25827754172509615,0.8871333333333333,0.9322988505747126,0.448,0.9657,0.019,0.019,15.6
supermarket_sales,gaussian,44,1000,90.71428571428571,0.3273573541216261,0.8944,0.9138390804597701,0.444,0.9614,0.025,0.025,12.3
supermarket_sales,vine,42,1000,97.34285714285716,4.4543560462039515,0.7855011494252874,0.855151724137931,0.024,0.0014,0.999,0.63,16.1
supermarket_sales,vine,43,1000,97.0,4.416637557545625,0.7882229885057471,0.873551724137931,0.035,0.0012,0.999,0.633,10.2
supermarket_sales,vine,44,1000,97.4857142857143,4.376424977899484,0.7925977011494253,0.9100758620689655,0.035,0.0014,0.999,0.603,5.6
supermarket_sales,ctgan,42,1000,77.55714285714285,4.285609847236578,0.5450666666666668,0.8579402298850575,0.006,0.0,1.0,0.887,57.0
supermarket_sales,ctgan,43,1000,76.27142857142857,4.3796048743388,0.5311402298850574,0.8590137931034483,0.033,0.0141,0.994,0.442,67.0
supermarket_sales,ctgan,44,1000,75.89999999999999,4.449273038207031,0.5296735632183909,0.7847931034482758,0.021,0.005,0.996,0.389,57.0
supermarket_sales,tvae,42,1000,77.34285714285716,1.4800874154516321,0.9634091954022989,0.9435218390804598,0.088,0.0218,0.982,0.547,20.6
supermarket_sales,tvae,43,1000,72.91428571428571,1.4244743886427582,0.8446850574712643,0.8905402298850574,0.062,0.0114,0.993,0.525,14.3
supermarket_sales,tvae,44,1000,80.05714285714285,1.3632207620991164,0.8488689655172413,0.9437931034482758,0.102,0.0107,0.993,0.541,18.0
online_purchases,gaussian,42,664,73.94666666666667,0.44798384040015493,0.49339426672206066,0.8303282093892813,0.10240963855421686,0.3951,0.6446,0.0392,4.1
online_purchases,gaussian,43,664,76.15666666666667,0.4387599212204747,0.4877510040160643,0.8491621659049993,0.1144578313253012,0.3882,0.6536,0.0361,3.1
online_purchases,gaussian,44,664,75.80333333333333,0.49545241807576085,0.4921686746987952,0.8079178784101925,0.10240963855421686,0.3761,0.6717,0.0346,3.6
online_purchases,vine,42,664,97.515,3.1168328142229735,0.8282128514056225,0.9602928957208142,0.09487951807228916,0.061,0.9774,0.1476,4.3
online_purchases,vine,43,664,97.13666666666666,3.0862912938738325,0.7938755020080321,0.949761113419194,0.08132530120481928,0.0521,0.9774,0.1611,4.0
online_purchases,vine,44,664,97.43999999999998,3.0674103295731645,0.8299231408392189,0.9579109541614734,0.07680722891566265,0.0723,0.9699,0.137,5.0
online_purchases,ctgan,42,664,74.09500000000001,2.8909128705763214,0.45281124497991976,0.9514263952361168,0.0783132530120482,0.065,0.9729,0.0693,23.2
online_purchases,ctgan,43,664,77.05833333333332,2.7573300508361935,0.4585341365461847,0.9045457692840326,0.06475903614457831,0.0644,0.9729,0.116,25.3
online_purchases,ctgan,44,664,70.28166666666668,3.1394681674945097,0.40381526104417675,0.7940866915939621,0.060240963855421686,0.0865,0.9533,0.0738,21.1
online_purchases,tvae,42,664,77.28333333333335,,0.6016064257028112,0.601706827309237,0.0286144578313253,0.0047,1.0,0.0798,6.1
online_purchases,tvae,43,664,77.28333333333333,,0.5967871485943775,0.7178714859437751,0.0286144578313253,0.0056,1.0,0.0798,6.1
online_purchases,tvae,44,664,75.67666666666666,,0.6962297465724969,0.7329317269076305,0.03463855421686747,0.0069,1.0,0.0964,6.1
credit,gaussian,42,1000,74.88571428571429,2.9137544243597278,0.7544229885057471,0.9382252873563218,0.069,0.4011,0.614,0.333,9.8
credit,gaussian,43,1000,73.8142857142857,3.259390284501511,0.7127471264367816,0.9458413793103448,0.066,0.5264,0.491,0.158,9.2
credit,gaussian,44,1000,74.42857142857143,3.0245415781537135,0.7351563218390804,0.9516896551724138,0.061,0.5115,0.505,0.168,8.6
