dataset,generator,n_seeds,n,delta,p_ttest,p_wilcoxon,ci_low,ci_high,cohens_d,bonf_threshold,sig_ttest,sig_bonf
adult,ctgan,10,10,0.007,0.1,0.0645,-0.002,0.016,0.58,0.0031,False,False
adult,gaussian_copula,10,10,0.002,0.7669,1.0,-0.014,0.018,0.1,0.0031,False,False
adult,tvae,10,10,0.001,0.7721,0.8125,-0.004,0.005,0.09,0.0031,False,False
adult,vine,10,10,0.007,0.0891,0.1055,-0.001,0.016,0.6,0.0031,False,False
census_acs,ctgan,10,10,0.06,0.0076,0.002,0.02,0.099,1.08,0.0031,True,False
census_acs,gaussian_copula,10,10,0.0,0.8998,0.6523,-0.003,0.003,0.04,0.0031,False,False
census_acs,tvae,10,10,0.011,0.2571,0.6523,-0.009,0.03,0.38,0.0031,False,False
census_acs,vine,10,10,0.214,0.0,0.002,0.189,0.238,6.19,0.0031,True,True
credit,ctgan,10,10,0.011,0.1502,0.4258,-0.005,0.027,0.5,0.0031,False,False
credit,gaussian_copula,10,10,-0.02,0.0728,0.1309,-0.042,0.002,-0.64,0.0031,False,False
credit,tvae,10,10,0.0,,1.0,,,,0.0031,False,False
credit,vine,10,10,0.004,0.059,0.0781,-0.0,0.009,0.68,0.0031,False,False
online_purchases,ctgan,10,10,0.144,0.0157,0.0156,0.034,0.253,0.94,0.0031,True,False
online_purchases,gaussian_copula,10,10,0.003,0.6101,0.3828,-0.01,0.016,0.17,0.0031,False,False
online_purchases,tvae,10,0,,,,,,,0.0031,False,False
online_purchases,vine,10,10,0.394,0.0,0.002,0.342,0.447,5.39,0.0031,True,True
supermarket_sales,ctgan,10,0,,,,,,,0.0031,False,False
supermarket_sales,gaussian_copula,10,10,0.0,,1.0,,,,0.0031,False,False
supermarket_sales,tvae,10,0,,,,,,,0.0031,False,False
supermarket_sales,vine,10,0,,,,,,,0.0031,False,False
