dataset,generator,attribute,seed,violation_rate,retention,max_flag_gap,max_share_shift_pp,tvd
adult,gaussian,sex,42,0.4855,0.5145,0.016943034296378556,0.6842079689018454,0.0068420796890184266
adult,gaussian,race,42,0.4855,0.5145,0.5339524085896692,3.257191448007768,0.03542274052478131
adult,gaussian,sex,43,0.2545,0.7455,0.035611244408898374,1.0078806170355503,0.010078806170355475
adult,gaussian,race,43,0.2545,0.7455,0.7227807486631017,2.592219986586186,0.025922199865861854
adult,gaussian,sex,44,0.1715,0.8285,0.03687354795884501,1.0057332528666252,0.010057332528666252
adult,gaussian,race,44,0.1715,0.8285,0.7929846198491004,2.805944477972233,0.02805944477972236
adult,gaussian,sex,45,0.423,0.577,0.015805471124620052,0.6252166377816337,0.006252166377816282
adult,gaussian,race,45,0.423,0.577,0.4919750469384047,3.0480069324090087,0.030480069324090107
adult,gaussian,sex,46,0.377,0.623,0.006100199857883959,0.2132423756019297,0.0021324237560192694
adult,gaussian,race,46,0.377,0.623,0.5622880599678743,2.243017656500801,0.02243017656500801
adult,gaussian,sex,47,0.312,0.688,0.051185603815586234,1.5941860465116364,0.01594186046511631
adult,gaussian,race,47,0.312,0.688,0.7078853046594982,2.4191860465116344,0.02538372093023259
adult,gaussian,sex,48,0.2245,0.7755,0.06444995645664975,1.7917150225660872,0.01791715022566087
adult,gaussian,race,48,0.2245,0.7755,0.7961448598130841,2.27878787878788,0.022787878787878794
adult,gaussian,sex,49,0.2145,0.7855,0.036129588735498264,1.0185232336091699,0.010185232336091643
adult,gaussian,race,49,0.2145,0.7855,0.8124635993011066,2.946944621260339,0.029469446212603417
adult,gaussian,sex,50,0.434,0.566,0.04497350739378103,1.6780918727915206,0.016780918727915206
adult,gaussian,race,50,0.434,0.566,0.5465513316640109,1.5641342756183674,0.027031802120141307
adult,gaussian,sex,51,0.2145,0.7855,0.053355657084480285,1.4960216422660766,0.014960216422660766
adult,gaussian,race,51,0.2145,0.7855,0.8123529411764706,2.9057924888606035,0.029057924888606007
adult,vine,sex,42,0.5145,0.4855,0.06295763933936593,2.7786817713697287,0.02778681771369726
adult,vine,race,42,0.5145,0.4855,0.5062166962699822,3.603553038105045,0.03811174047373841
adult,vine,sex,43,0.4335,0.5665,0.013873793538178025,0.5176963812886126,0.005176963812886126
adult,vine,race,43,0.4335,0.5665,0.5795847750865052,2.002559576345986,0.022052074139452787
adult,vine,sex,44,0.4305,0.5695,0.02255946396312758,0.8480684811237926,0.008480684811237899
adult,vine,race,44,0.4305,0.5695,0.5912887828162291,3.206145741878841,0.035928884986830556
adult,vine,sex,45,0.465,0.535,0.009599827418832918,0.41588785046728916,0.0041588785046728916
adult,vine,race,45,0.465,0.535,0.5531415149735761,2.887383177570091,0.028873831775700923
adult,vine,sex,46,0.4795,0.5205,0.007910442158997055,0.32391930835735105,0.003239193083573483
adult,vine,race,46,0.4795,0.5205,0.535632183908046,2.5292987512007703,0.025292987512007693
adult,vine,sex,47,0.3835,0.6165,0.020369041207250027,0.7376723438767219,0.007376723438767191
adult,vine,race,47,0.3835,0.6165,0.6376470588235295,2.9156528791565273,0.02915652879156528
adult,vine,sex,48,0.419,0.581,0.04976114877427845,1.8713425129087802,0.018713425129087802
adult,vine,race,48,0.419,0.581,0.6305732484076434,1.187865748709116,0.018576592082616146
adult,vine,sex,49,0.3785,0.6215,0.024129661787811174,0.8803298471440124,0.008803298471440069
adult,vine,race,49,0.3785,0.6215,0.6453115899825277,3.2891794046661316,0.03289179404666131
adult,vine,sex,50,0.468,0.532,0.07303276824465543,2.852255639097745,0.02852255639097745
adult,vine,race,50,0.468,0.532,0.4989396568343936,2.36578947368421,0.024864661654135332
adult,vine,sex,51,0.4045,0.5955,0.020149137496859315,0.7440386230058826,0.007440386230058799
adult,vine,race,51,0.4045,0.5955,0.6232394366197183,3.968765743073055,0.03968765743073052
adult,ctgan,sex,42,0.5945,0.4055,0.028100067613252122,1.601418002466093,0.01601418002466093
adult,ctgan,race,42,0.5945,0.4055,0.3819444444444444,5.520406905055486,0.0651442663378545
adult,ctgan,sex,43,0.5305,0.4695,0.0066306364443010635,0.32827476038339576,0.003282747603833902
adult,ctgan,race,43,0.5305,0.4695,0.4400333718393018,5.377529286474969,0.05377529286474972
adult,ctgan,sex,44,0.5425,0.4575,0.06782012093826828,3.569398907103827,0.03569398907103827
adult,ctgan,race,44,0.5425,0.4575,0.5006476683937824,7.280874316939889,0.07280874316939889
adult,ctgan,sex,45,0.558,0.442,0.024606247017022853,1.2597285067873332,0.012597285067873304
adult,ctgan,race,45,0.558,0.442,0.42797154108918434,6.48914027149321,0.06903846153846152
adult,ctgan,sex,46,0.5555,0.4445,0.029068337194999794,1.4288526434195759,0.014288526434195759
adult,ctgan,race,46,0.5555,0.4445,0.40275278877293996,5.301912260967379,0.057254780652418444
adult,ctgan,sex,47,0.466,0.534,0.026840477695580123,1.176779026217234,0.011767790262172312
adult,ctgan,race,47,0.466,0.534,0.5712898212898213,4.109737827715354,0.05424719101123595
adult,ctgan,sex,48,0.512,0.488,0.0963842476799121,4.77950819672131,0.04779508196721308
adult,ctgan,race,48,0.512,0.488,0.45113911068786167,3.6139344262295037,0.040672131147540966
adult,ctgan,sex,49,0.55,0.45,0.001971938280407537,0.10555555555555873,0.0010555555555555596
adult,ctgan,race,49,0.55,0.45,0.4538371705038372,5.5555555555555465,0.05555555555555551
adult,ctgan,sex,50,0.6235,0.3765,0.042402015968409645,2.6010624169986727,0.0260106241699867
adult,ctgan,race,50,0.6235,0.3765,0.38842861088097214,3.3309428950863196,0.04500332005312085
adult,ctgan,sex,51,0.6135,0.3865,0.013370089917321137,0.7359637774903005,0.00735963777490295
adult,ctgan,race,51,0.6135,0.3865,0.4221789883268483,7.1173350582147465,0.07117335058214747
adult,tvae,sex,42,0.119,0.881,0.019292936240456693,0.12735527809307756,0.0012735527809307687
adult,tvae,race,42,0.119,0.881,0.0,0.0,0.0
adult,tvae,sex,43,0.1905,0.8095,0.19905956112852666,1.0119209388511428,0.010119209388511418
adult,tvae,race,43,0.1905,0.8095,0.0,0.0,0.0
adult,tvae,sex,44,0.0725,0.9275,0.07575757575757576,0.3361185983827508,0.0033611859838275013
adult,tvae,race,44,0.0725,0.9275,0.0,0.0,0.0
adult,tvae,sex,45,0.1555,0.8445,0.010402297006833261,0.15358200118413823,0.0015358200118413545
adult,tvae,race,45,0.1555,0.8445,0.0,0.0,0.0
adult,tvae,sex,46,0.144,0.856,0.056587327297440815,0.4948598130841142,0.004948598130841128
adult,tvae,race,46,0.144,0.856,0.0,0.0,0.0
adult,tvae,sex,47,0.1195,0.8805,0.1266560678325384,0.7668086314594036,0.007668086314594005
adult,tvae,race,47,0.1195,0.8805,0.0,0.0,0.0
adult,tvae,sex,48,0.0445,0.9555,0.04744136460554371,0.288749345892203,0.0028874934589220302
adult,tvae,race,48,0.0445,0.9555,0.0,0.0,0.0
adult,tvae,sex,49,0.037,0.963,0.03842159916926272,0.14215991692627244,0.0014215991692626898
adult,tvae,race,49,0.037,0.963,0.0,0.0,0.0
adult,tvae,sex,50,0.1855,0.8145,0.17985212813216103,1.2550951503990215,0.012550951503990194
adult,tvae,race,50,0.1855,0.8145,0.0,0.0,0.0
adult,tvae,sex,51,0.0995,0.9005,0.054534585365198354,0.450805108273189,0.004508051082731848
