dataset,generator,attribute,viol_mean,flag_gap_mean,flag_gap_sd,shift_pp_mean,shift_pp_sd,tvd_mean,tvd_sd
adult,ctgan,race,0.5546,0.444,0.0567,5.3697,1.3682,0.0585,0.0109
adult,ctgan,sex,0.5546,0.0337,0.0289,1.7587,1.478,0.0176,0.0148
adult,gaussian,race,0.3111,0.6779,0.1301,2.6061,0.4972,0.0276,0.0038
adult,gaussian,sex,0.3111,0.0361,0.0185,1.1115,0.5187,0.0111,0.0052
adult,tvae,race,0.1168,0.0,0.0,0.0,0.0,0.0,0.0
adult,tvae,sex,0.1168,0.0808,0.0657,0.5027,0.3893,0.005,0.0039
adult,vine,race,0.4376,0.5802,0.0546,2.7956,0.812,0.0295,0.007
adult,vine,sex,0.4376,0.0304,0.023,1.197,0.9527,0.012,0.0095
credit,ctgan,age_quartile,0.8202,0.1375,0.0606,10.9957,5.1355,0.1339,0.0661
credit,ctgan,marriage,0.8202,0.1223,0.065,3.27,2.1476,0.0344,0.0214
credit,ctgan,sex,0.8202,0.0126,0.009,1.7036,1.201,0.017,0.012
credit,gaussian,age_quartile,0.5519,0.2231,0.1067,7.2423,3.5081,0.0847,0.039
credit,gaussian,marriage,0.5519,0.3863,0.1707,2.9905,2.432,0.0303,0.0242
credit,gaussian,sex,0.5519,0.0186,0.0181,0.9846,0.936,0.0098,0.0094
credit,tvae,age_quartile,0.3406,0.7922,0.144,20.23,8.0159,0.2087,0.0764
credit,tvae,marriage,0.3406,0.2901,0.1222,7.4529,4.219,0.0745,0.0422
credit,tvae,sex,0.3406,0.1332,0.1774,0.5286,0.9392,0.0053,0.0094
credit,vine,age_quartile,0.7226,0.1444,0.0539,7.4211,2.7637,0.0882,0.0407
credit,vine,marriage,0.7226,0.2698,0.1542,2.5205,1.3635,0.0256,0.0137
credit,vine,sex,0.7226,0.0137,0.0138,1.134,1.0779,0.0113,0.0108
