seed,full_f1,rule_f1,hif_f1,full_acc,rule_acc,hif_acc,retention_rule,retention_hif,hif_score
42,0.3711,0.3615,0.5055,,,,98.0,58.199999999999996,0.5534
43,0.4006,0.3846,0.512,,,,97.95,59.099999999999994,0.5603
44,0.4509,0.4563,0.5675,,,,94.25,60.35,0.5488
45,0.3676,0.3568,0.41,,,,96.15,60.5,0.5522
46,0.3855,0.4075,0.6184,,,,98.8,59.25,0.5573
47,0.411,0.4209,0.5911,,,,98.9,54.6,0.5472
48,0.4178,0.4272,0.5873,,,,99.0,57.25,0.549
49,0.3945,0.3911,0.5074,,,,97.7,60.550000000000004,0.5541
50,0.4016,0.4785,0.5607,,,,91.55,58.5,0.5367
51,0.37,0.3867,0.4312,,,,97.0,61.3,0.5642
