seed,full_f1,rule_f1,hif_f1,full_acc,rule_acc,hif_acc,retention_rule,retention_hif,hif_score
42,0.3031,0.3031,0.5882,,,,90.9,2.1999999999999997,0.0551
43,0.3808,0.3464,0.5199,,,,90.45,2.1,0.052
44,0.3443,0.3464,0.8927,,,,90.7,2.25,0.0551
45,0.3355,0.3355,0.707,,,,89.95,3.05,0.0628
46,0.3569,0.3569,0.9698,,,,90.45,1.25,0.0546
47,0.3289,0.3289,0.9147,,,,90.7,2.45,0.0603
48,0.3311,0.3311,0.394,,,,91.2,2.25,0.0656
49,0.342,0.342,0.5134,,,,91.45,1.9,0.0574
50,0.3151,0.3127,0.95,,,,91.05,2.8000000000000003,0.0624
51,0.3355,0.3576,0.92,,,,90.7,2.1,0.0555
