dataset,generator,seed,ks,alpha_precision,beta_recall,hif_score,violation_rate,lse_violation_rate,nic_violation_rate,rule_violation_rate,flag_rate,base_violation_rate,confirmation_rate_flagged,confirmation_rate_unflagged,spearman_penalty_severity
supermarket_sales,sdv_gaussian_copula,42,0.9682857142857143,0.9458344827586207,0.9326,0.0438,1.0,1.0,0.0,0.051,0.61,0.999,1.0,0.9974,0.5858
supermarket_sales,sdv_gaussian_copula,43,0.9585714285714285,0.9377333333333333,0.9073977011494252,0.0431,1.0,1.0,0.0,0.069,0.554,0.998,1.0,0.9955,0.6344
supermarket_sales,sdv_gaussian_copula,44,0.956857142857143,0.9465402298850575,0.8995287356321839,0.0427,1.0,1.0,0.0,0.075,0.602,1.0,1.0,1.0,0.5802
supermarket_sales,sdv_gaussian_copula,45,0.963,0.9517402298850575,0.8919954022988505,0.0433,1.0,1.0,0.0,0.064,0.587,0.999,1.0,0.9976,0.5648
supermarket_sales,sdv_gaussian_copula,46,0.9678571428571427,0.9437816091954023,0.9010620689655173,0.0424,1.0,1.0,0.0,0.083,0.616,0.999,1.0,0.9974,0.5957
supermarket_sales,sdv_gaussian_copula,47,0.9614285714285715,0.9481494252873564,0.9231310344827586,0.0439,1.0,1.0,0.0,0.048,0.619,1.0,1.0,1.0,0.6061
supermarket_sales,sdv_gaussian_copula,48,0.961857142857143,0.9568068965517241,0.9291333333333334,0.0419,1.0,1.0,0.0,0.096,0.637,0.999,1.0,0.9972,0.5863
supermarket_sales,sdv_gaussian_copula,49,0.9618571428571429,0.9537747126436782,0.9237310344827586,0.0438,1.0,1.0,0.0,0.052,0.608,0.999,1.0,0.9974,0.5899
supermarket_sales,sdv_gaussian_copula,50,0.9607142857142856,0.956216091954023,0.9362666666666667,0.0436,1.0,1.0,0.0,0.056,0.592,0.999,1.0,0.9975,0.5792
supermarket_sales,sdv_gaussian_copula,51,0.9572857142857144,0.9506482758620689,0.9316,0.0427,1.0,1.0,0.0,0.075,0.571,0.998,1.0,0.9953,0.5769
online_purchases,sdv_gaussian_copula,42,0.8195281124497993,0.8077551585652957,0.9078347874255643,0.5808,0.4187,0.7078,0.009,0.0768,0.7063,1.0,1.0,1.0,0.3438
online_purchases,sdv_gaussian_copula,43,0.8147590361445783,0.8103656003323639,0.9267449106771916,0.5794,0.4352,0.7063,0.0045,0.0813,0.6988,1.0,1.0,1.0,0.3536
online_purchases,sdv_gaussian_copula,44,0.8172690763052209,0.7819900290818446,0.9325301204819277,0.5514,0.4578,0.7259,0.009,0.0919,0.7048,1.0,1.0,1.0,0.304
online_purchases,sdv_gaussian_copula,45,0.8147590361445783,0.779241102340396,0.943089599778424,0.5687,0.4036,0.7364,0.012,0.0798,0.7078,1.0,1.0,1.0,0.2562
online_purchases,sdv_gaussian_copula,46,0.8172690763052209,0.7742175598947515,0.943595069934912,0.5622,0.4669,0.7078,0.0105,0.0738,0.7033,1.0,1.0,1.0,0.3843
online_purchases,sdv_gaussian_copula,47,0.8448795180722891,0.7968702395790057,0.93490167566819,0.5719,0.4352,0.7229,0.009,0.0663,0.7349,1.0,1.0,1.0,0.3646
online_purchases,sdv_gaussian_copula,48,0.8160140562248995,0.775484697410331,0.9511840465309513,0.5678,0.4262,0.7199,0.009,0.0648,0.7139,1.0,1.0,1.0,0.3215
online_purchases,sdv_gaussian_copula,49,0.8104919678714859,0.7808059825508932,0.9251800304666944,0.5736,0.4337,0.7139,0.0105,0.0678,0.7244,1.0,1.0,1.0,0.298
online_purchases,sdv_gaussian_copula,50,0.8119979919678714,0.764340119097078,0.9253946821769837,0.5525,0.4639,0.7395,0.0136,0.0828,0.744,1.0,1.0,1.0,0.2591
online_purchases,sdv_gaussian_copula,51,0.8125000000000001,0.7521292064810968,0.9600782440105249,0.5739,0.4202,0.7334,0.0075,0.0723,0.7244,1.0,1.0,1.0,0.3255
