dataset,generator,target,arm,seed,target_is_hub,hubs,retention,f1_full,f1_filtered
census_acs,ctgan,household_income,A_published,42,True,household_income|housing_cost|poverty_status|education|tenure,63.949999999999996,0.46254513902977223,0.6067603996453133
census_acs,ctgan,household_income,B_no_hub,42,False,housing_cost|poverty_status|education|tenure|household_size,81.25,0.46254513902977223,0.41515182813468293
census_acs,ctgan,household_income,C_blind,42,False,poverty_status|housing_cost|education|tenure|household_size,90.4,0.46254513902977223,0.5120314186462047
census_acs,ctgan,household_income,A_published,43,True,household_income|poverty_status|housing_cost|education|tenure,56.25,0.5080703385993466,0.6822619266899982
census_acs,ctgan,household_income,B_no_hub,43,False,poverty_status|housing_cost|education|tenure|household_size,68.25,0.5080703385993466,0.37633728846527914
census_acs,ctgan,household_income,C_blind,43,False,housing_cost|poverty_status|education|age_group|tenure,89.4,0.5080703385993466,0.43347248576850095
census_acs,ctgan,household_income,A_published,44,True,household_income|housing_cost|poverty_status|education|tenure,60.6,0.35661764705882354,0.4750978436037142
census_acs,ctgan,household_income,B_no_hub,44,False,housing_cost|poverty_status|education|tenure|age_group,72.8,0.35661764705882354,0.38125
census_acs,ctgan,household_income,C_blind,44,False,housing_cost|poverty_status|education|tenure|household_size,88.75,0.35661764705882354,0.35429212556957385
census_acs,ctgan,household_income,A_published,45,True,household_income|housing_cost|poverty_status|education|tenure,65.55,0.34123895225623835,0.4084247035130902
census_acs,ctgan,household_income,B_no_hub,45,False,housing_cost|poverty_status|education|tenure|household_size,85.0,0.34123895225623835,0.3368618024373429
census_acs,ctgan,household_income,C_blind,45,False,poverty_status|housing_cost|education|household_size|tenure,90.8,0.34123895225623835,0.329608938547486
census_acs,ctgan,household_income,A_published,46,True,household_income|poverty_status|housing_cost|education|age_group,71.2,0.3892931392931393,0.42175513907177226
census_acs,ctgan,household_income,B_no_hub,46,False,poverty_status|housing_cost|education|age_group|tenure,77.10000000000001,0.3892931392931393,0.41134065934065933
census_acs,ctgan,household_income,C_blind,46,False,poverty_status|housing_cost|education|tenure|age_group,94.19999999999999,0.3892931392931393,0.4409634548042852
census_acs,ctgan,household_income,A_published,47,True,household_income|poverty_status|housing_cost|tenure|education,69.45,0.41481399444823536,0.4905998695935666
census_acs,ctgan,household_income,B_no_hub,47,False,poverty_status|housing_cost|tenure|education|household_size,78.10000000000001,0.41481399444823536,0.36200977957327507
census_acs,ctgan,household_income,C_blind,47,False,poverty_status|housing_cost|education|tenure|household_size,91.05,0.41481399444823536,0.37629937629937626
