dataset,generator,arm,target_is_hub,retention,n_valid,f1_full,f1_filtered,delta_f1,p_ttest,p_wilcoxon,ci_low,ci_high
census_acs,ctgan,A_published,True,62.69,10,0.38084213230190406,0.45766218278361537,0.07682005048171134,0.0015185460932576561,0.001953125,0.03808470844327872,0.11555539252014396
census_acs,ctgan,B_no_hub,False,78.175,10,0.38084213230190406,0.3620978068170376,-0.01874432548486641,0.24407878153433288,0.42578125,-0.05276415823545943,0.015275507265726608
census_acs,ctgan,C_blind,False,90.37499999999999,10,0.38084213230190406,0.3775312044963956,-0.003310927805508451,0.7837823679494884,0.65234375,-0.02980253216066429,0.02318067654964739
census_acs,vine,A_published,True,76.39,10,0.48331968465838493,0.6909815489788826,0.2076618643204977,3.52967886607528e-09,0.001953125,0.1865552140287054,0.22876851461229003
census_acs,vine,B_no_hub,False,88.285,10,0.48331968465838493,0.48308967741577236,-0.00023000724261256766,0.9824468649351377,1.0,-0.023232199863168927,0.022772185377943795
census_acs,vine,C_blind,False,93.66999999999999,10,0.48331968465838493,0.49034968214796554,0.007029997489580581,0.46412544234145914,0.6953125,-0.01377101676742679,0.02783101174658795
online_purchases,ctgan,A_published,True,19.05120481927711,10,0.3748926803545157,0.5160460361935532,0.1411533558390376,0.01608081385971348,0.01953125,0.033107866326477026,0.24919884535159817
online_purchases,ctgan,B_no_hub,False,30.286144578313248,10,0.3748926803545157,0.39616346214651665,0.021270781792001047,0.027204359717353407,0.009765625,0.002998986418238002,0.03954257716576409
online_purchases,ctgan,C_blind,False,17.605421686746986,10,0.3748926803545157,0.382138705578785,0.007246025224269381,0.6784718524894913,0.6875,-0.031021786364204506,0.04551383681274327
online_purchases,vine,A_published,True,13.855421686746988,10,0.4498091858461897,0.8350297276551736,0.3852205418089839,1.4810109421884465e-07,0.001953125,0.3252736407962933,0.44516744282167453
online_purchases,vine,B_no_hub,False,25.466867469879517,10,0.4498091858461897,0.5534537900973706,0.10364460425118097,0.0010817130292963468,0.001953125,0.054021642864518805,0.15326756563784313
online_purchases,vine,C_blind,False,15.903614457831328,10,0.4498091858461897,0.5229221378679266,0.07311295202173694,0.061974668377338164,0.048828125,-0.004519406454989827,0.1507453104984637
