variant,seed,score1,score2,retention,task
TRTR Real Baseline,42,0.8936402209230028,0.019430117642543175,100.0,regression
Full synthetic,42,0.8067785816349105,0.02618872466399705,100.0,regression
Rule-Filtered,42,0.8127151959127182,0.025783269454101195,97.8,regression
HIF Clean (Threshold <= 0.5),42,0.8153121733206763,0.025603884074658263,76.7,regression
HIF Top-80% (Oracle),42,0.8094027435389437,0.026010280712330865,80.0,regression
TRTR Real Baseline,43,0.8955759596150247,0.01925249251876779,100.0,regression
Full synthetic,43,0.8037712984874139,0.026391737433390742,100.0,regression
Rule-Filtered,43,0.803046843731013,0.02644041024522625,97.2,regression
HIF Clean (Threshold <= 0.5),43,0.8229453308044371,0.02506919617995912,69.69999999999999,regression
HIF Top-80% (Oracle),43,0.8251973362484976,0.024909255081023485,80.0,regression
TRTR Real Baseline,44,0.8933286596471474,0.019458555297729472,100.0,regression
Full synthetic,44,0.8101750038168092,0.02595753311487381,100.0,regression
Rule-Filtered,44,0.8094151043058471,0.02600943727881095,98.6,regression
HIF Clean (Threshold <= 0.5),44,0.8193753134964807,0.025320674477550684,78.10000000000001,regression
HIF Top-80% (Oracle),44,0.8099713824962381,0.025971451436022766,80.0,regression
TRTR Real Baseline,45,0.8941412183381229,0.01938430178452232,100.0,regression
Full synthetic,45,0.8094334809542469,0.026008183302716925,100.0,regression
Rule-Filtered,45,0.8267123315044635,0.02480107730730684,97.2,regression
HIF Clean (Threshold <= 0.5),45,0.8135419690852288,0.02572629608227258,79.2,regression
HIF Top-80% (Oracle),45,0.814805075859661,0.0256390102785352,80.0,regression
TRTR Real Baseline,46,0.8914310875351491,0.019630866090579544,100.0,regression
Full synthetic,46,0.8100798864618628,0.02596403569020716,100.0,regression
Rule-Filtered,46,0.8153113449257581,0.02560394149615715,98.8,regression
HIF Clean (Threshold <= 0.5),46,0.819155148497225,0.025336101572953164,69.5,regression
HIF Top-80% (Oracle),46,0.8183138857196803,0.025394963046608834,80.0,regression
