variant,seed,score1,score2,retention,task
TRTR Real Baseline,42,0.712821504391573,0.71,100.0,classification
Full synthetic,42,0.09142023062326668,0.11666666666666667,100.0,classification
Rule-Filtered,42,0.09419928739948961,0.11333333333333333,86.8,classification
HIF Clean (Threshold <= 0.5),42,0.26101364522417153,0.24666666666666667,7.1,classification
HIF Top-80% (Oracle),42,0.10145522625175366,0.11666666666666667,80.0,classification
TRTR Real Baseline,43,0.688859932731236,0.6833333333333333,100.0,classification
Full synthetic,43,0.19127294531217054,0.21666666666666667,100.0,classification
Rule-Filtered,43,0.1668146081992735,0.18666666666666668,79.60000000000001,classification
HIF Clean (Threshold <= 0.5),43,0.24505675272944294,0.30666666666666664,12.7,classification
HIF Top-80% (Oracle),43,0.16953042940994748,0.17666666666666667,80.0,classification
TRTR Real Baseline,44,0.7059060324098415,0.7033333333333334,100.0,classification
Full synthetic,44,0.09910695742471443,0.19666666666666666,100.0,classification
Rule-Filtered,44,0.1085343228200371,0.2,87.4,classification
HIF Clean (Threshold <= 0.5),44,0.2110514455713131,0.25,11.1,classification
HIF Top-80% (Oracle),44,0.10763376158724998,0.2,80.0,classification
TRTR Real Baseline,45,0.7002282795110382,0.6966666666666667,100.0,classification
Full synthetic,45,0.08515522790262564,0.22333333333333333,100.0,classification
Rule-Filtered,45,0.08794549859614165,0.23333333333333334,88.5,classification
HIF Clean (Threshold <= 0.5),45,0.2067821067821068,0.3,5.7,classification
HIF Top-80% (Oracle),45,0.08804467308622434,0.23333333333333334,80.0,classification
TRTR Real Baseline,46,0.7149463937621832,0.7133333333333334,100.0,classification
Full synthetic,46,0.15168185020122454,0.15333333333333332,100.0,classification
Rule-Filtered,46,0.15390158303464754,0.17333333333333334,72.89999999999999,classification
HIF Clean (Threshold <= 0.5),46,0.25116473808625567,0.2833333333333333,12.4,classification
HIF Top-80% (Oracle),46,0.1902065602200785,0.21,80.0,classification
