variant,seed,score1,score2,retention,task
TRTR Real Baseline,42,0.6957763373779398,0.6916666666666667,100.0,classification
Full synthetic,42,0.5482292570400106,0.5533333333333333,50.0,classification
Rule-Filtered,42,0.5376612233239669,0.55,50.0,classification
HIF Clean (Threshold <= 0.5),42,0.5228760356548001,0.53,50.0,classification
HIF Top-80% (Oracle),42,0.5442788653268075,0.5483333333333333,50.0,classification
TRTR Real Baseline,43,0.7117164570091481,0.7083333333333334,100.0,classification
Full synthetic,43,0.5471213984886616,0.5483333333333333,50.0,classification
Rule-Filtered,43,0.5416885007792915,0.5483333333333333,50.0,classification
HIF Clean (Threshold <= 0.5),43,0.5488186944789077,0.5566666666666666,50.0,classification
HIF Top-80% (Oracle),43,0.5319395575306096,0.53,50.0,classification
