variant,seed,score1,score2,retention,task
TRTR Real Baseline,42,0.6957763373779398,0.6916666666666667,100.0,classification
Full synthetic,42,0.519222513375192,0.5216666666666666,100.0,classification
Rule-Filtered,42,0.551928732197141,0.5566666666666666,98.2,classification
HIF Clean (Threshold <= 0.5),42,0.5665613107897107,0.5616666666666666,77.60000000000001,classification
HIF Top-80% (Oracle),42,0.5622176041722969,0.56,80.0,classification
TRTR Real Baseline,43,0.7117164570091481,0.7083333333333334,100.0,classification
Full synthetic,43,0.5572794847924673,0.5616666666666666,100.0,classification
Rule-Filtered,43,0.5610653827549184,0.5633333333333334,97.2,classification
HIF Clean (Threshold <= 0.5),43,0.5757219718855873,0.575,69.69999999999999,classification
HIF Top-80% (Oracle),43,0.5678540473314126,0.5666666666666667,80.0,classification
TRTR Real Baseline,44,0.7105545697706572,0.7066666666666667,100.0,classification
Full synthetic,44,0.5440353647800292,0.5466666666666666,100.0,classification
Rule-Filtered,44,0.5341614289901007,0.5366666666666666,98.6,classification
HIF Clean (Threshold <= 0.5),44,0.5476066457495524,0.5416666666666666,78.10000000000001,classification
HIF Top-80% (Oracle),44,0.5311407556399385,0.5316666666666666,80.0,classification
TRTR Real Baseline,45,0.7042181347086738,0.7,100.0,classification
Full synthetic,45,0.5210761702876703,0.5283333333333333,100.0,classification
Rule-Filtered,45,0.5489211967079629,0.55,97.2,classification
HIF Clean (Threshold <= 0.5),45,0.5376468316407876,0.535,79.2,classification
HIF Top-80% (Oracle),45,0.5774299057433208,0.5766666666666667,80.0,classification
TRTR Real Baseline,46,0.7063369256611229,0.7033333333333334,100.0,classification
Full synthetic,46,0.5639569164587936,0.5583333333333333,100.0,classification
Rule-Filtered,46,0.5856983274053457,0.5783333333333334,98.8,classification
HIF Clean (Threshold <= 0.5),46,0.573779470042241,0.5666666666666667,69.5,classification
HIF Top-80% (Oracle),46,0.5640240081940473,0.5566666666666666,80.0,classification
