dataset,seed,keep_frac,method,f1,n_retained,violation_rate
census_acs,42,0.5,Full,0.39639485654056766,2000,
census_acs,42,0.5,HIF,0.35653844199167917,1000,0.0895
census_acs,42,0.5,Chamfer,0.38742481208141166,1000,
census_acs,42,0.5,Random,0.3412987949741934,1000,
census_acs,42,0.7,Full,0.39639485654056766,2000,
census_acs,42,0.7,HIF,0.37799269731228147,1400,0.0895
census_acs,42,0.7,Chamfer,0.39284986514331965,1400,
census_acs,42,0.7,Random,0.36550929874698046,1400,
census_acs,42,0.9,Full,0.39639485654056766,2000,
census_acs,42,0.9,HIF,0.3554806298732635,1800,0.0895
census_acs,42,0.9,Chamfer,0.38800177207135766,1800,
census_acs,42,0.9,Random,0.36798256266837037,1800,
census_acs,43,0.5,Full,0.3705586418638508,2000,
census_acs,43,0.5,HIF,0.3904316556061468,1000,0.079
census_acs,43,0.5,Chamfer,0.36269158493489323,1000,
census_acs,43,0.5,Random,0.3737687283043594,1000,
census_acs,43,0.7,Full,0.3705586418638508,2000,
census_acs,43,0.7,HIF,0.36495873387807254,1400,0.079
census_acs,43,0.7,Chamfer,0.3677247374996287,1400,
census_acs,43,0.7,Random,0.36813503562714855,1400,
census_acs,43,0.9,Full,0.3705586418638508,2000,
census_acs,43,0.9,HIF,0.36984435049382075,1800,0.079
census_acs,43,0.9,Chamfer,0.36931599053739284,1800,
census_acs,43,0.9,Random,0.37511291685068715,1800,
