dataset,generator,seed,target,task,hif_score,violation_rate,ks_score,tstr_score,trr_score,tstr_ratio,time_s
supermarket_sales,gaussian,42,unit_price,regression,0.9659,0.03,77.37142857142855,0.7727,0.9939,0.7774,1.5
supermarket_sales,gaussian,42,gross_income,regression,0.9659,0.03,77.37142857142855,0.9999,0.9999,1.0,1.5
supermarket_sales,gaussian,42,branch,classification,0.9659,0.03,77.37142857142855,0.3268,0.3396,0.9621,1.5
supermarket_sales,gaussian,42,product_line,classification,0.9659,0.03,77.37142857142855,0.1352,0.1655,0.8167,1.5
supermarket_sales,gaussian,42,customer_type,classification,0.9659,0.03,77.37142857142855,0.4532,0.5199,0.8718,1.5
supermarket_sales,gaussian,42,payment,classification,0.9659,0.03,77.37142857142855,0.3094,0.337,0.9182,1.5
supermarket_sales,gaussian,42,gender,classification,0.9659,0.03,77.37142857142855,0.5385,0.5599,0.9617,1.5
supermarket_sales,gaussian,43,unit_price,regression,0.9403,0.056,75.74285714285715,0.6245,0.9886,0.6317,0.0
supermarket_sales,gaussian,43,gross_income,regression,0.9403,0.056,75.74285714285715,0.9998,0.9975,1.0023,0.0
supermarket_sales,gaussian,43,branch,classification,0.9403,0.056,75.74285714285715,0.346,0.3869,0.8942,0.0
supermarket_sales,gaussian,43,product_line,classification,0.9403,0.056,75.74285714285715,0.103,0.167,0.6167,0.0
supermarket_sales,gaussian,43,customer_type,classification,0.9403,0.056,75.74285714285715,0.5059,0.4973,1.0173,0.0
supermarket_sales,gaussian,43,payment,classification,0.9403,0.056,75.74285714285715,0.3318,0.3238,1.0245,0.0
supermarket_sales,gaussian,43,gender,classification,0.9403,0.056,75.74285714285715,0.4327,0.4865,0.8895,0.0
supermarket_sales,gaussian,44,unit_price,regression,0.9781,0.014,76.31428571428572,0.7442,0.9924,0.7499,0.0
supermarket_sales,gaussian,44,gross_income,regression,0.9781,0.014,76.31428571428572,0.9998,0.9999,0.9999,0.0
supermarket_sales,gaussian,44,branch,classification,0.9781,0.014,76.31428571428572,0.3643,0.362,1.0064,0.0
supermarket_sales,gaussian,44,product_line,classification,0.9781,0.014,76.31428571428572,0.1464,0.1505,0.9728,0.0
supermarket_sales,gaussian,44,customer_type,classification,0.9781,0.014,76.31428571428572,0.4989,0.5097,0.9789,0.0
supermarket_sales,gaussian,44,payment,classification,0.9781,0.014,76.31428571428572,0.3278,0.3461,0.9471,0.0
supermarket_sales,gaussian,44,gender,classification,0.9781,0.014,76.31428571428572,0.4064,0.4257,0.9546,0.0
supermarket_sales,ctgan,42,unit_price,regression,0.5106,0.476,62.142857142857146,-0.9589,0.9939,-0.9648,45.9
supermarket_sales,ctgan,42,gross_income,regression,0.5106,0.476,62.142857142857146,0.0704,0.9999,0.0704,45.9
supermarket_sales,ctgan,42,branch,classification,0.5106,0.476,62.142857142857146,0.2414,0.3396,0.7108,45.9
supermarket_sales,ctgan,42,product_line,classification,0.5106,0.476,62.142857142857146,0.1759,0.1655,1.0629,45.9
supermarket_sales,ctgan,42,customer_type,classification,0.5106,0.476,62.142857142857146,0.5145,0.5199,0.9895,45.9
supermarket_sales,ctgan,42,payment,classification,0.5106,0.476,62.142857142857146,0.3879,0.337,1.1511,45.9
supermarket_sales,ctgan,42,gender,classification,0.5106,0.476,62.142857142857146,0.5385,0.5599,0.9617,45.9
supermarket_sales,ctgan,43,unit_price,regression,0.7066,0.25,65.28571428571429,0.0058,0.9886,0.0058,26.5
supermarket_sales,ctgan,43,gross_income,regression,0.7066,0.25,65.28571428571429,-0.291,0.9975,-0.2918,26.5
