dataset,generator,seed,rows,ks_score,corr_distance,alpha_precision,beta_recall,authenticity,hif_score,hif_violation_rate,hif_rule_violation_rate,time_s
supermarket_sales,gaussian,42,500,77.37142857142855,,0.940519540229885,0.45594026666666676,0.54,0.9659,0.03,0.03,6.4
supermarket_sales,gaussian,43,500,75.74285714285715,,0.8904,0.43946666666666667,0.564,0.9403,0.056,0.056,4.4
supermarket_sales,gaussian,44,500,76.31428571428572,,0.9555402298850575,0.45989119999999994,0.544,0.9781,0.014,0.014,3.9
supermarket_sales,ctgan,42,500,69.37142857142858,,0.6258666666666667,0.04039226666666673,0.946,0.1413,0.886,0.886,99.9
supermarket_sales,ctgan,43,500,74.85714285714286,,0.8049563218390805,0.045694133333333276,0.932,0.6056,0.366,0.366,87.3
supermarket_sales,ctgan,44,500,67.45714285714284,,0.7686666666666667,0.08677946666666647,0.892,0.1372,0.89,0.89,94.7
supermarket_sales,tvae,42,500,53.51428571428572,,0.7471402298850575,0.15549306666666662,0.81,0.6214,0.344,0.344,15.6
supermarket_sales,tvae,43,500,49.199999999999996,,0.7555080459770114,0.13272613333333338,0.868,0.7672,0.202,0.202,10.4
supermarket_sales,tvae,44,500,51.028571428571425,,0.7360827586206897,0.13895519999999995,0.85,0.6528,0.334,0.334,11.3
online_purchases,gaussian,42,500,72.53333333333333,0.34083075405131946,0.39146666666666663,0.11597093333333341,0.9,0.7869,0.196,0.03,3.1
online_purchases,gaussian,43,500,75.76666666666667,0.4318044029313003,0.3906666666666667,0.16749333333333327,0.882,0.7717,0.206,0.024,3.4
online_purchases,gaussian,44,500,79.53333333333335,0.8726534774286134,0.5814666666666667,0.13904400000000017,0.84,0.7904,0.194,0.054,2.4
online_purchases,ctgan,42,500,59.73333333333333,3.005334961725414,0.429535632183908,0.02080453333333332,0.838,0.6781,0.324,0.062,37.2
online_purchases,ctgan,43,500,72.46666666666665,3.124571547264811,0.5514666666666668,0.04676506666666669,0.982,0.6512,0.336,0.11,33.0
online_purchases,ctgan,44,500,78.6,2.963552837616545,0.5900000000000001,0.053397600000000045,0.844,0.5978,0.402,0.136,21.6
online_purchases,tvae,42,500,74.73333333333333,,0.7484367816091954,0.12029386666666653,0.866,0.8894,0.116,0.116,4.9
online_purchases,tvae,43,500,76.13333333333334,,0.7776367816091954,0.10233226666666673,0.86,0.9161,0.088,0.088,4.4
online_purchases,tvae,44,500,73.1,,0.7656183908045977,0.12242773333333323,0.872,0.8856,0.12,0.12,4.6
credit,gaussian,42,500,74.11428571428571,3.160330703471382,0.9225517241379311,0.24662346666666657,0.812,0.4602,0.514,0.256,4.5
credit,gaussian,43,500,73.27142857142857,3.5852564530736206,0.8879172413793104,0.20051973333333306,0.694,0.3222,0.668,0.204,6.2
credit,gaussian,44,500,75.12857142857142,2.787654219248574,0.9031494252873563,0.25997893333333333,0.62,0.3967,0.588,0.18,6.2
credit,ctgan,42,500,64.61428571428571,7.001466021172118,0.5072000000000001,0.09811066666666679,0.928,0.2176,0.78,0.248,37.6
credit,ctgan,43,500,66.05714285714286,7.279798118215118,0.5151402298850575,0.08494213333333345,0.818,0.1953,0.83,0.324,37.4
credit,ctgan,44,500,52.385714285714286,6.964443145746111,0.5726022988505747,0.05723999999999996,0.962,0.1924,0.842,0.276,37.3
credit,tvae,42,500,64.32857142857142,5.192626509275507,0.736712643678161,0.25767759999999995,0.76,0.8912,0.114,0.072,12.6
credit,tvae,43,500,71.02857142857142,5.164344106226278,0.8336,0.24076266666666657,0.642,0.8152,0.182,0.166,12.5
credit,tvae,44,500,67.35714285714286,4.839081318553473,0.7113793103448276,0.16165573333333338,0.806,0.925,0.072,0.06,11.1
adult,gaussian,42,500,66.6,0.2638701687702907,0.5884183908045977,0.2299465011494255,0.68,0.5693,0.416,0.136,3.8
adult,gaussian,43,500,67.14999999999999,0.2169577409275206,0.584951724137931,0.212244,0.744,0.6787,0.288,0.046,3.6
adult,gaussian,44,500,67.10000000000001,0.288028428201403,0.6224505747126436,0.23591039999999985,0.76,0.549,0.43,0.064,3.3
adult,ctgan,42,500,67.44999999999999,0.45706689374662596,0.35497931034482766,0.08707173333333318,0.938,0.5198,0.492,0.174,30.1
adult,ctgan,43,500,77.05000000000001,0.46794278951448504,0.508583908045977,0.048298133333333215,0.996,0.4542,0.554,0.098,28.3
adult,ctgan,44,500,63.55,0.4568824251899717,0.46978390804597703,0.04509839999999998,0.998,0.4564,0.576,0.11,31.7
adult,tvae,42,500,59.45,0.34769004305077483,0.2632,0.2216482666666667,0.738,0.9252,0.07,0.07,6.3
adult,tvae,43,500,60.25,0.3906110520497709,0.266,0.2212472000000002,0.756,0.9873,0.002,0.0,5.4
adult,tvae,44,500,63.650000000000006,0.4286211262197763,0.2613333333333333,0.25382080000000007,0.68,0.9839,0.0,0.0,7.5
bls,gaussian,42,500,86.725,,0.5707218390804598,0.3718952000000001,0.814,0.7081,0.286,0.254,1.9
bls,gaussian,43,500,85.1,,0.2956000000000001,0.27492320000000003,0.844,0.7943,0.158,0.088,2.4
bls,gaussian,44,500,84.9,,0.24226666666666674,0.24806853333333334,0.888,0.695,0.272,0.128,2.1
bls,ctgan,42,500,74.375,,0.7997609195402299,0.2635301333333333,0.816,0.7294,0.244,0.198,33.0
bls,ctgan,43,500,69.125,,0.3554620689655169,0.16790079999999996,0.94,0.6208,0.36,0.258,22.1
bls,ctgan,44,500,68.3,,0.5085655172413794,0.08479786666666689,0.612,0.8194,0.156,0.114,24.1
bls,tvae,42,500,80.225,,0.8003402298850575,0.38507066666666667,0.658,0.8786,0.124,0.124,4.0
bls,tvae,43,500,80.875,,0.7668551724137931,0.3591645333333334,0.638,0.9006,0.082,0.08,4.0
bls,tvae,44,500,79.32499999999999,,0.7737195402298851,0.3280791999999999,0.614,0.941,0.054,0.054,4.8
